aaa	工艺
ldu	国有资本
ldv	2
ldw	国有企业
ldx	略有结余
ldy	轪
leb	男孩
lee	輣
lef	田边地头
leg	略胜一筹
leh	2
lei	2
lej	2
lem	2
len	辅助性
leo	2
lep	2
leq	輗
ler	男排
les	2
let	䡃
lev	男女
lew	四月份
lex	2
lfa	园艺
lfb	团聚
lfc	罴
lfd	默契
lfe	墨脱
lff	转动
lfg	转速
lfh	置
lfi	墨水
lfj	黑暗
lfk	团员
lfl	团团
lfm	转帐
lfn	围
lfo	墨
lfp	黑窝
lfq	黑色
lfr	因地制宜
lfs	园林
lft	团
lfu	转产
lfv	转嫁
lfw	团体
lfx	团结
lfy	转让
lga	车工
lgb	国际
lgc	车马
lgd	国有
lge	畏
lgf	车载
lgg	国王
lgh	车皮
lgi	国法
lgj	辐照
lgk	圄
lgl	车轮
lgm	国内
lgn	国情
lgo	国库
lgp	车祸
lgq	车外
lgr	男青年
lgs	车票
lgt	车身
lgu	车间
lgv	鑋
lgw	国债
lgx	2
lgy	国旗
lhb	2
lhc	軙
lhd	四大
lhe	四肢
lhf	四起
lhg	罪恶
lhh	2
lhj	四时
lhk	四川
lhl	2
lhm	䡠
lhn	四
lho	2
lhq	罪名
lhr	2
lht	四季
lhv	2
lhw	四亿
lhy	甲方
lia	2
lib	2
lid	国法不容
lif	塁
lig	㘢
lih	2
lij	䍝
lik	2
lil	2
lim	2
lio	2
lip	圆满完成任务
liq	㱎
lit	输油管线
liu	軣
liv	2
liy	四海为家
ljb	2
ljc	2
ljd	2
lje	2
ljf	2
ljg	畼
ljh	2
lji	2
ljj	2
ljk	2
ljl	輼
ljm	2
ljn	2
ljo	2
ljr	2
ljt	2
ljv	2
ljw	2
ljy	2
lka	回荡
lkb	回函
lkc	2
lkd	回顾
lke	㘣
lkf	回去
lkg	回来
lkh	䡅
lki	圆满
lkj	回电
lkk	回味
lkl	回转
lkm	团中央
lkn	回忆
lko	因噎废食
lkp	廻
lkr	回扣
lks	回想
lkt	回升
lku	回首
lkv	2
lkw	回合
lkx	回绝
lky	回访
lla	2
llb	田阳
llc	2
lle	2
llf	默默无闻
llg	䡒
lli	2
llj	田里
lll	田园
llm	2
lln	罳
llo	2
llq	2
llr	辗转反侧
llu	田头
llw	车辆保养
llx	2
lly	田甲方框四车力
lma	2
lmc	2
lmd	Β
lme	2
lmf	畘
lmg	国内形势
lmh	国内战争
lmi	2
lmj	2
lmk	2
lml	2
lmm	2
lmn	国内情况
lmo	2
lmp	2
lmq	国内外市场
lmr	2
lms	2
lmu	国内新闻
lmv	2
lmw	鷶
lmx	β
lna	思茅
lnd	顋
lne	2
lnf	思索
lng	国民政府
lnh	䡂
lni	思潮
lnk	辅导员
lnl	回心转意
lnm	2
lnn	国民收入
lno	2
lnq	轧钢
lnr	辅导报告
lns	轧机
lnt	㘠
lnu	辅导站
lnw	思念
lnx	思维
lny	回收率
lob	2
loc	2
loe	2
log	轛
loi	2
lok	2
lol	2
lom	2
lon	䍡
loo	2
loq	疄
lor	2
los	2
lot	2
lou	国库券
lov	2
low	2
lox	2
loy	2
lpa	国家工商行政管理局
lpb	连队
lpc	国家验收
lpd	连成
lpe	连用
lpf	国家专利
lpg	国家副主席
lpi	国家海洋局
lpk	国家中医药管理局
lpl	国家国有资产管理局
lpm	连同
lpn	国家发展计划委员会
lpo	国家烟草专卖局
lpp	国家富强
lpq	连锁
lpr	连年
lps	国家机关
lpt	国家和地区
lpu	固定资本
lpv	国家建材局
lpw	国家领导人
lpx	国家级
lpy	国家主权
lqa	连锁功能
lqb	2
lqd	轧钢厂
lqf	斩钉截铁
lqg	罗平
lqh	2
lqj	劅
lqk	㽛
lql	罗田
lqn	䍖
lqo	㽤
lqp	罗定
lqq	黑色金属
lqr	连锁反应
lqs	2
lqt	罗盘
lqu	软包装
lqv	2
lqw	软件
lqx	国外经验
lqy	国外市场
lra	圆白菜
lrc	畖
lrd	连年不断
lrf	连看都不看
lrh	转折点
lrj	暂时
lrl	䍢
lrm	㟻
lrn	慙
lro	2
lrp	暂定
lrq	䡚
lrr	䡈
lrt	因势利导
lrw	暂停
lrx	暂缓
lry	2
lsa	思想工作
lsb	2
lsc	思想观念
lse	2
lsf	回想起
lsg	思想政治教育
lsh	思想上
lsi	思想活跃
lsk	思想路线
lsl	2
lsm	2
lsn	2
lso	2
lsp	困窘
lsr	黑板报
lss	罧
lst	2
lsu	思想道德
lsv	思想灵魂
lsw	思想体系
lsy	思想方法
lta	2
ltb	国务院副总理
ltd	略有
lte	暂行办法
ltf	田径运动
ltg	图表
lti	软科学
ltj	輹
ltk	辂
ltl	连篇累牍
ltm	鸭舌帽
ltn	图书
lto	轓
ltp	因循守旧
ltq	国务卿
ltr	回答提问
lts	图样
ltt	国务委员
ltu	轷
ltw	图们
ltx	轻重缓急
lty	图谋
luc	2
lud	圈套
luf	2
lug	䢂
lui	2
luj	回头是岸
lul	畏首畏尾
lum	2
lun	2
luo	2
lup	2
luq	2
lus	輶
lut	回首往事
luw	恩将仇报
lux	㽧
lva	2
lvb	䣚
lvd	䫫
lve	2
lvf	较好地
lvg	甊
lvh	2
lvi	2
lvj	轈
lvm	2
lvo	2
lvq	2
lvr	2
lvs	2
lvt	輑
lvu	㪹
lvv	2
lvx	2
lvy	轨迹
lwa	软件工程
lwb	界限
lwc	软件预装
lwd	四人帮
lwe	畛
lwf	軵
lwg	辁
lwh	2
lwi	轮流
lwj	输电
lwl	轮转
lwm	2
lwn	国企改革
lwo	轮廓
lwp	团体赛
lwq	囚犯
lwr	轮换
lws	囚禁
lwt	输血
lwu	软件产业
lwv	鴫
lww	轮作
lwx	囵
lwy	囹
lxa	2
lxc	䡏
lxd	团结在
lxe	軪
lxf	软弱无力
lxg	团结一心
lxi	鸭绿江
lxj	2
lxl	毗连
lxm	2
lxn	连贯性
lxo	2
lxp	2
lxr	2
lxs	2
lxt	团结稳定
lxv	2
lxw	连续作战
lxx	辔
lya	2
lyc	较难
lyd	较大
lyf	罚款
lyg	罜
lyh	2
lyi	较小
lyj	较量
lyk	辌
lym	2
lyn	国计民生
lyo	2
lyp	连衣裙
lyq	罚金
lyr	转弯抹角
lys	2
lyt	较短
lyu	图文并茂
lyv	䍚
lyw	较低
lyx	较弱
lyy	较为
maa	典雅
mab	曲阳
mac	2
mad	贼
mae	2
maf	㞬
mag	典型
mah	峫
mai	山东省
maj	贎
mak	巏
mal	2
mam	曲周
man	同工异曲
mao	2
map	崂
maq	嵽
mar	曲折
mas	2
mat	典籍
mav	2
maw	曲阜
may	曲调
mba	2
mbc	2
mbe	2
mbf	2
mbg	邮政
mbh	邖
mbj	骨子里
mbl	2
mbm	内联网
mbn	邮局
mbo	2
mbq	内联外引
mbt	邮箱
mbu	邮递
mbv	2
mbx	邮费
mby	岋
mcb	㽕
mcc	贂
mce	2
mcf	2
mcg	由难到易
mch	2
mcj	2
mcl	2
mcn	2
mco	2
mcp	2
mcq	2
mcr	2
mct	2
mcu	2
mcv	2
mcw	賐
mcx	2
mdc	2
mdd	由盛而衰
mde	岸边
mdf	岸
mdg	崴
mdh	岸上
mdi	岩溶
mdk	2
mdl	輋
mdm	遄
mdn	盎司
mdp	见面礼
mdq	盎然
mdr	财大气粗
mds	嶏
mdt	周而复始
mdu	嶚
mdv	2
mdw	嵟
mdy	贆
mea	骮
meb	㟊
mec	2
med	骷
mee	骨架
mef	胄
meg	岨
meh	骴
mei	䯑
mej	髃
mem	骨骼
men	䯆
meo	髍
mep	髂
meq	骶
mer	髀
mes	䯊
met	骨科
meu	骿
mev	骫
mew	骱
mex	䯗
mey	骹
mfa	雕花
mfb	2
mfc	赋予
mfd	冃
mfe	周边
mff	亗
mfg	周末
mfh	屽
mfi	赌注
mfj	2
mfk	周
mfl	周转
mfm	巅峰
mfn	嶹
mfo	2
mfp	周密
mfq	岏
mfr	周报
mft	赌
mfu	雕塑
mfv	2
mfw	骨干企业
mfx	财经
mfy	周旋
mga	同期
mgb	由表及里
mgc	同台
mgd	刚正不阿
mge	豳
mgf	财政支出
mgg	同事
mgh	同上
mgi	同学
mgj	同日
mgk	峿
mgn	财政收入
mgo	同类
mgp	同窗
mgq	财政金融
mgr	同年
mgs	同机
mgt	同等
mgu	同意
mgv	崨
mgw	同仁
mgx	同级
mgy	典型调查
mha	贴切
mhb	幌子
mhc	岥
mhd	幅面
mhe	幍
mhf	同步增长
mhg	帻
mhh	帧
mhi	幥
mhj	幌
mhk	贴
mhl	㡞
mhm	网上购物
mhn	由
mho	幅度
mhp	帎
mhq	幨
mhr	帙
mhs	由此可以看出
mht	幡
mhu	幛
mhw	帷
mhx	㡉
mhy	由衷
mib	2
mic	2
mif	埊
mih	2
mij	崉
mil	2
mio	2
miq	2
mir	2
mis	2
miu	山海关
miw	同流合污
mix	2
miy	2
mjd	同日而语
mje	2
mjf	嵵
mjg	由易到难
mjh	賵
mji	山盟海誓
mjk	2
mjl	2
mjq	内紧外松
mjr	2
mjs	2
mju	同时并举
mjw	同盟会
mjy	2
mka	2
mkb	嶯
mkc	2
mke	2
mkf	2
mkj	2
mkk	崿
mkl	2
mkm	2
mkn	2
mko	2
mkp	㢠
mkq	岲
mks	2
mkt	2
mkv	2
mkx	2
mky	2
mla	2
mlb	2
mlc	2
mld	崓
mle	2
mlf	2
mlg	周围环境
mlh	嶵
mli	2
mlm	2
mln	䞏
mlo	2
mlp	2
mlq	2
mlr	嶃
mls	2
mlt	2
mlu	周转资金
mlx	2
mly	2
mma	山区
mmb	山阳
mmc	2
mmd	岟
mme	山脚
mmf	山地
mmg	岫
mmh	山上
mmi	山沟
mmj	崱
mmk	山川
mml	2
mmm	山峰
mmq	婴儿
mmr	罂
mms	山村
mmu	山前
mmv	鹦
mmw	山谷
mmx	山乡
mmy	山峦
mna	内心世界
mnb	㐕
mnd	贼心不死
mnf	同心协力
mng	囙
mnh	岂非
mnj	凯里
mnm	同心同德
mnn	乢
mnp	2
mnr	㠄
mnu	2
mnw	贴心人
mny	凯旋
mob	2
moc	2
mod	2
moe	2
mof	赃款
mog	嶫
moh	2
moi	2
moj	2
mok	2
mol	2
mom	2
moo	巆
mop	2
mor	2
mos	㠧
mov	嵣
mox	2
moy	2
mpa	崇敬
mpc	2
mpd	廸
mpe	2
mpf	贻害无穷
mph	2
mpi	崇尚
mpj	㟰
mpl	㟦
mpm	2
mpn	2
mpr	内容提要
mps	2
mpt	贮备
mpu	赔礼道歉
mpv	峖
mpw	崇仁
mpy	崇文
mqa	崏
mqb	岇
mqd	见面
mqe	崅
mqf	见地
mqg	见到
mqi	2
mqj	刿
mqk	嶑
mqm	巍然屹立
mqn	见习
mqp	2
mqq	购销
mqr	岉
mqs	2
mqt	购物
mqu	见闻
mqv	见好
mqx	2
mqy	购房
mrb	由近及远
mrc	岅
mrd	网页
mre	2
mrf	刚才
mrg	网球
mrh	网上
mri	罓
mrj	刚果
mrk	网吧
mrm	网购
mrn	刚性
mro	2
mrq	网名
mrr	网摘
mrs	2
mru	网状
mrx	刚强
mry	2
msb	2
msc	2
mse	2
msf	㠒
msg	2
msh	2
msj	贉
msk	㞹
msl	2
msm	2
msn	2
mso	2
msp	2
msr	㠨
mss	㟳
mst	见机行事
msu	2
msw	㟣
msx	2
mta	同舟共济
mtc	财务预算
mtd	峤
mtf	败者
mth	岝
mti	同往常一样
mtj	峲
mtk	购物中心
mtm	峨嵋
mtn	财务收支
mto	嶓
mtq	㠟
mtr	财务制度
mtt	财务处
mtu	财务部
mtv	崣
mtw	财务会计
mtx	财务纪律
mty	败诉
mua	賆
mud	䞉
mue	巄
muf	赔款
mug	周总理
muh	2
mui	2
muj	㠉
muk	邮递员
mul	财产转移
mum	2
muq	赔钱
mur	财产损失
mus	赔本
mut	嵃
muu	财产关系
muv	骨瘦如柴
muw	财产保险
mux	赠给
muy	赠言
mva	2
mvb	2
mvc	2
mvd	2
mvf	2
mvg	峍
mvh	2
mvj	2
mvm	2
mvn	2
mvo	2
mvp	2
mvq	2
mvs	2
mvt	㟒
mvu	2
mvv	2
mvw	2
mvx	2
mvy	屻
mwa	内幕
mwc	嵡
mwd	内有
mwe	肉用
mwf	内地
mwg	嵛
mwh	肉眼
mwi	内涵
mwj	岕
mwk	肉食品
mwl	见风转舵
mwm	囧
mwn	内心
mwo	内应
mwp	内定
mwq	内销
mwr	赔偿损失
mws	2
mwt	内行
mwu	内部
mwv	嶋
mww	峪
mwx	内乡
mwy	崔
mxa	网络警察
mxb	2
mxc	2
mxd	2
mxe	岰
mxf	网络协议
mxj	岪
mxk	嵹
mxl	网络黑客
mxm	2
mxn	2
mxo	2
mxq	㟜
mxr	见缝插针
mxs	2
mxt	网络管理
mxu	网络新闻
mxw	网络信息中心
mxx	网络经济
mya	雘
myb	䢷
myc	㠡
myd	凯旋而归
myf	由衷地
myg	丹青
myh	2
myi	2
myj	刐
myk	崞
myl	2
myn	丹心
myp	2
myq	2
myr	见诸报端
mys	2
myt	崺
myu	崹
myv	㟍
myw	丹凤
myy	同义词
naa	民工
nab	民防
nad	以牙还牙
nae	民办
naf	异地
nag	惬
nah	懢
nai	殿堂
naj	羿
nak	民品
nal	异国
nam	愥
nan	民心
nao	2
nap	改革家
naq	展馆
nar	民兵
nas	民权
nat	愍
nau	民意
nav	民建
naw	臀
nax	异乡
nay	民族
nbb	发出了
nbc	发出通知
nbd	层出不穷
nbe	㦩
nbf	聼
nbg	局限于
nbh	䣁
nbi	2
nbj	2
nbl	2
nbm	鶌
nbn	局限性
nbo	2
nbp	2
nbq	2
nbt	憨
nbu	2
nbv	2
nbx	2
nby	忣
nca	2
ncb	2
ncd	以柔克刚
nce	快马加鞭
ncf	性能超群
ncg	惨遭
nch	2
nci	惨淡
ncl	2
ncn	怪异
nco	2
ncp	心驰神往
ncq	2
ncr	以观后效
nct	怪物
ncu	惨状
ncw	性能价格比
ncx	2
ncy	怕难为情
nda	尽在其中
ndb	怀孕
ndc	书面通知
ndd	恹
nde	那还用说
ndf	剧场
ndg	憾
ndh	忧虑
ndi	2
ndj	怀里
ndk	忧患
ndl	剧团
ndm	以太网
ndn	居民
ndq	居多
ndr	书面报告
nds	剧本
ndt	情不自禁
ndu	剧痛
ndw	怀念
ndx	剧组
ndy	已成为
nea	懚
nec	2
nee	愶
nef	必须增强
neg	心胸开阔
neh	㥰
nei	必须掌握
nej	必须是
nel	2
nen	尽力尽责
neo	2
nep	懓
ner	必须看到
net	民用航空
neu	必须遵循
nev	2
new	惯用伎俩
nex	必须贯彻
ney	心力交瘁
nfa	改进工作
nfc	怯
nfd	层面
nfe	2
nff	惊魂未定
nfg	导致
nfh	忓
nfi	屚
nfj	导电
nfk	必需品
nfm	导购
nfn	愤慨
nfo	㤸
nfp	悖
nfq	迅猛
nfr	导热
nft	导向
nfu	悻
nfv	发动群众
nfw	导体
nfx	导线
nga	懒散
ngb	发现了
ngc	刁难
ngd	情感
nge	那边
ngf	快速增长
ngg	那天
ngh	那些
ngi	心理学
ngj	那里
ngk	丮
ngm	怲
ngn	快速发展
ngo	2
ngp	发表社论
ngq	改正错误
ngr	以下的
ngs	司机
ngt	那种
ngu	情况
ngv	情妇
ngw	司令
ngx	情绪
ngy	发表谈话
nha	收藏
nhb	丑陋
nhc	収
nhd	
nhe	收受
nhf	遐
nhg	丑恶
nhh	戄
nhi	收治
nhj	悼
nhk	心目中
nhl	收转
nhm	眉山
nhn	疏导
nho	蛋类
nhp	收容
nhq	疏忽
nhr	蛋白
nhs	遐想
nht	收入
nhu	收养
nhw	收集
nhx	收缩
nhy	收效
nia	2
nib	2
nie	悄
nif	飞沙走石
nig	尿素
nii	氹
nik	2
nil	劈波斩浪
nim	以小见大
nin	恍惚
nio	2
nip	憆
niq	尼泊尔
nis	司法权
nit	尿片
niu	司法部门
niv	2
niw	2
niy	2
njb	2
njc	发电能力
njd	尽最大努力
njf	悝
njg	惿
njh	丱
njk	民盟中央
njl	愠
njm	㥥
njn	慢慢
njo	2
njp	心旷神怡
njq	展览馆
njr	㤤
njs	惈
njt	尼日利亚
nju	发电站
njv	2
njw	发明创造
njx	䎈
njy	心里话
nka	韍
nkb	书呆子
nkc	壁垒
nke	劈腿
nkf	心中无数
nkg	壁画
nkh	愦
nkk	懆
nkl	2
nkm	屌
nkn	悞
nko	2
nkp	2
nkq	怳
nks	2
nkt	♀
nku	避
nkv	心口如一
nkw	怾
nkx	2
nky	发号施令
nla	慖
nlb	2
nlc	2
nld	屇
nlf	2
nlg	愄
nlh	2
nli	2
nlj	2
nll	2
nlm	2
nln	惭愧
nlo	2
nlp	翴
nlq	2
nlt	2
nly	㦒
nma	㥏
nmb	2
nmc	2
nmd	惴
nmf	尸骨未寒
nmg	怞
nmh	㕞
nmi	屓
nmj	㞯
nmk	2
nml	2
nmm	屭
nmn	惆怅
nmo	2
nmq	2
nms	2
nmt	2
nmu	刷新
nmv	2
nmw	收购价
nmx	2
nna	已获
nnb	发展阶段
nnc	2
nnd	发展成为
nne	层层加码
nnf	发展规划
nng	尸
nnh	忸
nni	发展水平
nnk	发展中国家
nnl	快车
nnm	居民购买力
nnn	忋
nno	书库
nnq	书包
nnr	快捷
nns	书本
nnt	书籍
nnu	局部
nnv	已婚
nnw	己任
nnx	已经
nny	㤈
nob	2
noc	2
noe	2
nog	㦠
noj	2
nok	2
nol	2
nom	2
non	慷慨
noo	憦
nop	2
noq	2
nor	2
nos	戂
not	2
nou	心烦意乱
nov	屡
npa	2
npb	2
npd	心神不安
npf	买空卖空
npg	心安理得
npi	2
npj	慏
npk	2
npl	居安思危
npn	避之惟恐不及
npo	2
npp	收容审查
npq	忱
npr	2
nps	㤖
npt	愘
npu	2
npv	2
npw	屄
npx	2
npy	发案率
nqa	怟
nqd	疏忽大意
nqe	惂
nqf	必然规律
nqg	以色列
nqh	2
nqi	恌
nqj	必然是
nqk	怐
nql	2
nqn	必然性
nqo	㥌
nqq	㞔
nqr	心狠手辣
nqs	2
nqv	
nqw	展销会
nqy	鸤
nra	㦻
nrb	忷
nrd	以势压人
nre	2
nrg	惶
nrh	㥴
nrl	2
nrm	以失败而告终
nrn	发扬民主
nro	2
nrp	2
nrq	惞
nrr	情报所
nrs	情报检索
nrt	局势稳定
nru	发挥着积极作用
nrv	2
nrw	发挥优势
nry	以提高经济效益为中心
nsb	2
nsc	尽可能地
nsd	屡禁不绝
nse	2
nsf	飞檐走壁
nsg	异想天开
nsk	2
nsl	2
nsm	2
nsn	敢想敢干
nsp	2
nsq	2
nsr	那样的
nss	飞机票
nst	书本知识
nsu	2
nsv	2
nsw	2
nsx	2
nsy	以权谋私
nta	改革
ntb	发出
ntc	性能
ntd	发布
nte	必须
ntf	屐
ntg	发现
nth	怍
nti	收入水平
ntj	愎
ntk	恪
ntl	属国
ntm	发财
ntn	属性
nto	屦
ntp	改写
ntq	改名
ntr	书生气
nts	发票
ntt	发生
ntu	发送
ntv	尽管如此
ntw	居委会
ntx	改组
nty	改变
nua	屏幕
nub	屏障
nuc	飞驰
nud	㞐
nue	憪
nuf	买卖
nug	㥃
nuh	悦目
nui	民意测验
nuj	习题
nuk	飞跃
nul	惮
num	2
nun	憧憬
nuo	2
nur	局部的
nus	收音机
nut	飞船
nuu	劈头盖脸
nuv	翣
nuw	居首位
nux	民间组织
nuy	发病率
nva	憳
nvb	2
nvc	怓
nvd	敢怒不敢言
nvf	翆
nvh	2
nvi	㥆
nvj	2
nvk	慨叹
nvm	2
nvo	2
nvq	2
nvr	2
nvs	恰好相反
nvu	2
nvv	心如刀绞
nvx	2
nvy	以退为进
nwa	居住区
nwc	恱
nwd	惟有
nwe	鹨
nwf	憏
nwg	愉
nwh	2
nwi	夬
nwj	忦
nwl	居全国首位
nwm	2
nwn	愉快
nwo	2
nwp	心领神会
nwr	惊人的成就
nws	恘
nwt	恰逢
nwv	恰好
nww	收件人
nwy	惟
nxb	必经阶段
nxc	2
nxd	尼龙
nxe	惯用
nxg	已经开始
nxi	情绪激昂
nxj	改弦易辙
nxk	2
nxl	2
nxm	2
nxo	2
nxp	必经之地
nxq	2
nxr	2
nxs	2
nxt	懝
nxu	导弹部队
nxw	惨绝人寰
nxx	已经引起了
nxy	已经充分证明
nya	民族工业
nyb	改变了
nyc	㤝
nyd	心愿
nye	尽力
nyf	民族地区
nyg	以下
nyh	以上
nyi	乄
nyj	心里
nyk	咫
nyl	民族团结
nyn	心
nyo	民族精神
nyp	心安
nyq	以免
nyr	以后
nys	民主权利
nyt	尽管
nyu	㣺
nyv	民主建设
nyw	以
nyx	民族经济
nyy	忄
oaa	烒
oac	剫
oad	煤耗
oae	粪肥
oaf	度过
oag	䉺
oah	烥
oai	广东省
oaj	度量
oak	火药味
oal	庿
oam	煤炭
oan	炬
oao	庶
oap	精英赛
oaq	炼铁
oar	烘托
oas	2
oat	烧香
oau	席间
oav	2
oaw	烘
oay	2
obc	2
obd	2
obe	2
obh	邩
obi	2
obj	2
obk	2
obl	2
obo	2
obp	2
obq	2
obr	2
obt	2
obu	2
obv	2
obx	庭院经济
oby	2
oca	序幕
ocb	2
occ	2
oce	㷁
ocf	2
och	2
ocj	2
ock	炲
ocl	2
ocn	序
oco	2
ocp	2
ocq	2
ocr	2
ocs	2
ocu	2
ocv	2
ocx	2
ocy	糔
oda	爄
odb	庆阳
odd	燎原
ode	煳
odf	广大干部群众
odg	䊀
odh	炐
odi	广大党员
odj	库存量
odk	烦躁
odl	2
odm	庆典
odn	应有尽有
odo	烣
odp	广大农村
odr	庞大的
ods	㢊
odu	燎
odv	庞杂
odw	广大人民群众
odx	类比
ody	应成为
oeb	粰
oec	2
oed	粗大
oee	焩
oeg	应用于
oeh	㶲
oek	2
oel	应用软件
oem	2
oen	火力发电厂
oeo	粗粮
oer	熎
oet	应用科学
oev	2
oew	粗俗
oey	精力充沛
ofa	燌
ofb	2
ofc	度过难关
ofd	糯
ofe	2
off	烓
ofg	庄严
ofh	㶥
ofj	2
ofk	爧
ofl	烤鸭
ofm	煵
ofn	燽
ofo	粗声粗气
ofp	䊦
ofr	2
ofs	2
oft	庄稼
ofv	2
ofw	庱
ofy	庒
oga	精巧
ogb	邺
ogc	庢
ogd	精确
oge	精力
ogf	广开才路
ogj	精明
ogk	精品
ogl	2
ogm	炳
ogn	业已
ogo	糟糕
ogp	精密
ogq	精锐
ogr	精兵
ogs	㶬
ogt	精简
ogu	黻
ogv	精灵
ogw	精华
ogx	精细
ogy	精良
oha	㢒
ohb	2
ohc	2
ohe	火上加油
ohf	2
ohg	2
ohi	火上浇油
ohk	店
ohn	2
oho	2
ohq	火眼金睛
ohr	2
ohs	2
ohu	2
ohv	2
ohw	2
oib	应承
oic	应能
oid	廉洁奉公
oie	应力
oif	广泛支持
oig	广泛开展
oii	广泛深入
oij	应当是
oik	2
oil	2
oin	广泛性
oip	糛
oiq	应负
oir	应邀
ois	应酬
oit	＋
oiv	2
oiw	应从
oix	2
oiy	应试
oja	数易其稿
ojc	2
ojd	火冒三丈
ojf	廛
ojg	炟
oji	㎏
ojj	爞
ojk	2
ojl	煴
ojm	㷒
ojo	糊里糊涂
ojp	2
ojq	㷎
ojs	㷄
ojt	焺
oju	火电站
ojv	燳
ojw	2
ojx	焜
ojy	燝
oka	2
okc	2
okd	2
okh	2
oki	2
okj	2
okk	焒
okl	2
okm	㶽
oko	2
okp	2
okr	燥热
oks	2
okt	2
oku	2
okv	2
okw	㡶
okx	2
ola	烟花
olb	2
old	库存
olf	烟雾
olg	煨
olh	䊫
olj	2
olk	庘
olm	2
olq	2
ols	焑
olu	火车头
olv	熡
olw	粉墨登场
olx	2
oma	燶
omb	2
omc	2
omd	火山灰
omg	腐败现象
omh	籼
omi	2
oml	2
omm	粣
omn	㢐
omq	2
omr	2
oms	2
omu	焹
omv	2
omw	腐败分子
omx	精雕细琢
omy	烿
ona	2
onb	废除
onc	2
ond	数以百计
onf	廜
ong	数以万计
onh	废旧
oni	废水
onj	麟
onk	断路
onm	2
onn	断层
ono	麒麟
onp	燃眉之急
onq	废铁
onr	熠
ont	废物
onu	熤
onw	炔
onx	废纸
ony	废话
ooa	火炬项目
oob	糭
ood	糖厂
oof	烾
oog	火速
ooh	敥
ooi	灯火辉煌
ooj	火星
ook	2
oon	爆炸性
ooo	焱
oop	靡靡之音
ooq	㷠
oor	火热
oot	火种
oou	炎症
oov	糠
oow	火候
oox	火线
ooy	火炬计划
opa	迷惑
opb	2
opd	庆祝大会
ope	㶶
opf	粽
opg	唐家璇
opi	庆祝活动
opj	熐
opk	熍
opm	熔岩
opo	熔炉
opp	数字视频
opq	焥
opr	迷失
ops	迷醉
opt	烢
opu	精神状态
opv	2
opw	数字化
opx	炨
opy	精神文明
oqa	粼
oqb	底子
oqc	2
oqd	庞然大物
oqe	廨
oqf	炮声
oqg	焕然一新
oqh	焔
oqi	庣
oql	2
oqn	庖
oqo	燃烧
oqp	2
oqq	底色
oqr	炮制
oqs	2
oqt	遴选
oqu	精锐部队
oqv	2
oqw	灼伤
oqx	底细
oqy	㶤
orb	烂摊子
orc	应邀参加
ord	应接不暇
ore	2
org	煌
orh	䉼
orj	广播电台
orl	摩托罗拉
orn	熂
oro	数据库系统
orp	2
orq	焮
orr	2
ort	数据处理
orv	2
orx	廏
ory	广播讲话
osa	2
osb	2
osd	粗枝大叶
ose	床边
osf	麻城
osg	磨灭
osh	灯具
osi	灯光
osj	䊤
osk	炣
osm	2
osn	2
oso	灯火
osp	2
osq	火树银花
osr	磨损
oss	磨
osu	麻痹
osw	麻袋
osx	麻纺
osy	炢
ota	广种薄收
otb	炧
otd	粉身碎骨
ote	烐
otf	庭
otg	熄灭
oth	熄
oti	庄稼汉
otj	2
otk	业务员
otl	烅
otm	炿
otn	籺
oto	烽火
otq	烙铁
ott	庭长
otu	业务部
otw	炸伤
otx	烸
oty	炇
oub	断章取义
ouc	2
oud	㡴
oue	精疲力尽
ouf	炓
oug	糕
oui	烂漫
ouj	燱
ouk	廍
oul	熷
oum	2
oup	2
our	摩拳擦掌
ous	精装本
out	2
ouu	粒状
ouv	劆
ouw	席卷全球
oux	焍
ova	燖
ovc	2
ovd	数码
ove	煺
ovf	数十
ovg	数万
ovh	数目
ovi	数学
ovj	数日
ovn	2
ovo	数度
ovp	数额
ovq	2
ovr	数控
ovs	2
ovt	灱
ovv	2
ovw	赓
owa	2
owb	腐化堕落
owc	炂
owd	粉碎
owe	业余爱好者
owf	府
owg	庩
owi	迷信活动
owj	庎
owk	2
own	糇
owp	2
owq	粉饰
ows	腐朽
owt	粉笔
owu	粉状
owv	㥹
oww	鹰
owx	粉红
owy	座谈
oxa	2
oxb	2
oxc	2
oxd	廎
oxf	2
oxg	2
oxi	纇
oxj	䊧
oxl	2
oxm	2
oxn	2
oxo	2
oxp	2
oxq	2
oxs	2
oxu	糑
oxx	粗纤维
oxy	2
oya	粮草
oyc	焴
oyd	广大
oye	庡
oyf	廊坊
oyg	炷
oyi	粮油
oyk	焞
oyl	粮田
oyn	煽
oyo	粮库
oyq	精讲多练
oyr	摩肩接踵
oys	粮棉
oyt	广告
oyu	广阔
oyv	廊
oyw	炕
oyy	灬
paa	空荡荡
pab	密切联系群众
pad	宽大
paf	密切协作
pag	赛事
pah	塞上
pai	农工党
paj	农艺师
pal	塞车
pam	㝤
pan	宽慰
pao	宽广
pap	宽裕
paq	字斟句酌
par	密切的联系
pas	密切配合
pat	赛程
pau	宽阔
paw	寨
pba	实际工作
pbb	军队院校
pbc	㝡
pbe	2
pbf	实际需要
pbg	突出表现
pbh	字眼
pbm	㝮
pbn	实际收入
pbo	2
pbp	2
pbr	实际操作
pbs	字根
pbt	实际行动
pbu	突出问题
pby	实际效果
pca	2
pcc	2
pcd	寄予厚望
pce	2
pcf	客观需要
pcg	客观事实
pci	灾难深重
pcj	2
pcl	2
