AAAA	工
TLKW	重點單位
TLLF	範疇
TLLL	䉪
TLLN	範圍
TLMM	稷山
TLMT	範圍內
TLMU	簤
TLMW	血肉联系
TLNF	衄
TLNM	範圍以內
TLNQ	範圍以外
TLNT	血性
TLPB	重點突出
TLPK	䘔
TLPU	我國社會主義
TLPV	血案
TLPY	衊視
TLQC	血色
TLQE	䘓
TLQN	悤
TLQU	䇱
TLQW	欰
TLRE	衇
TLRI	囟
TLRM	顖
TLRN	恖
TLRQ	我國的
TLRY	囪
TLSA	管轄權
TLSG	血本
TLSY	稇
TLTA	籮筐
TLTD	先斬後奏
TLTK	簵
TLTN	利國利民
TLTO	第四季度
TLTP	血管
TLTU	箘
TLTY	稛
TLUJ	重點問題
TLUQ	積纍資金
TLUS	血親
TLVF	簍
TLVG	䅹
TLVH	重點建設項目
TLVL	各界群眾
TLVP	邍
TLVT	籔
TLVW	䘐
TLVY	衂
TLWC	䉖
TLWF	各界人士
TLWG	範例
TLWN	微軟公司
TLWO	重點企業
TLWT	稷
TLWW	得罪人
TLWY	重點保護
TLXI	我國經濟
TLXP	積纍總額
TLXR	邊界線
TLXX	血緣
TLXY	籮
TLYI	䘑
TLYJ	重點課題
TLYU	邊界談判
TLYY	範文
TMAA	自由式
TMAD	躲藏
TMAE	穠
TMAF	筁
TMAI	微薄
TMAK	微觀經濟
TMAL	秧苗
TMAN	身世
TMBB	身子
TMBJ	向陽
TMBL	血肉聯繫
TMBO	自由職業
TMDA	躻
TMDC	䠲
TMDD	躾
TMDE	躴
TMDF	射
TMDG	躰
TMDI	躿
TMDJ	篅
TMDK	躺
TMDL	軃
TMDM	軉
TMDN	躵
TMDO	躹
TMDQ	躭
TMDS	躲
TMDT	身上
TMDU	軆
TMDV	躮
TMDW	䠹
TMDX	躬
TMDY	秧
TMEG	䅢
TMEM	行賄受賄
TMEP	身受
TMER	䉰
TMET	身體力行
TMFE	簓
TMFG	黴雨
TMFJ	射電
TMFK	稠
TMFM	向南
TMFS	自由支配
TMFT	身教
TMGA	微型计算机
TMGH	向下
TMGJ	向東
TMGK	筒
TMGL	自由王國
TMGM	㠞
TMGN	懲罰
TMGR	委內瑞拉
TMGS	衕
TMGT	微
TMGU	䅱
TMGW	委曲求全
TMHA	懲處
TMHG	身上
TMHI	徽縣
TMHV	節骨眼
TMIA	牡丹江
TMIC	懲治腐敗
TMIH	微波
TMIY	自由泳
TMJF	向里
TMJG	微量元素
TMJJ	䈟
TMJY	身影
TMKM	靠山吃山
TMKP	逈
TMKQ	䚁
TMLB	射擊
TMLF	徽墨
TMLH	行賄罪
TMLL	秧田
TMLQ	微軟公司
TMLY	懲罰
TMME	身體
TMMG	笧
TMMJ	䈀
TMMM	微山
TMMR	自由體操
TMMT	向內
TMNK	躲避
TMNP	簻
TMNQ	毛骨悚然
TMNR	自由選擇
TMNY	身心健康
TMOA	稠度
TMOM	嶴
TMOO	䴈
TMOU	微粒
TMPB	繁體字
TMPL	奧運會
TMPN	稠密
TMPT	血肉之軀
TMPU	生財之道
TMPW	身穿
TMQA	自由貿易區
TMQG	身敗名裂
TMQH	向外
TMQJ	自由貿易區
TMRG	身后
TMRT	身手
TMSF	身材魁梧
TMSG	向西
TMSK	秧歌
TMSL	血肉相連
TMSW	微机
TMSX	微機
TMTB	咎由自取
TMTD	奧
TMTH	身邊
TMTK	射程
TMTM	射向
TMTN	粵
TMTS	䘗
TMTT	幑
TMTX	身後
TMTY	向往
TMUD	懲辦
TMUE	向前
TMUG	躲開
TMUJ	徽章
TMUM	犅
TMUT	向導
TMUW	躲閃
TMUX	向北
TMVI	微妙
TMWG	躺倒
TMWO	身體健康
TMWR	自由体操
TMWS	身体
TMWT	微風
TMWU	笍
TMWW	身份
TMWX	箆
TMWY	䄲
TMXR	射線
TMXU	微弱
TMYE	自由戀愛
TMYF	自由市場
TMYG	粵語
TMYK	身高
TMYM	微調
TMYN	身亡
TMYT	徾
TMYU	身旁
TNAB	各司其職
TNAC	特异功能
TNAE	愁眉苦臉
TNAR	後悔藥
TNBB	筷子
TNBU	衛隊
TNDE	知情不舉
TNDF	知情不報
TNDG	䅕
TNDK	篡改歷史
TNDN	愁眉不展
TNDO	䈐
TNDV	黎民百姓
TNDY	衛戍區
TNED	知心朋友
TNEN	向心力
TNFG	衛士
TNFM	行尸走肉
TNGF	箼
TNGH	乞丐
TNGI	乞求
TNGK	笥
TNGR	特快專遞
TNGT	稅收政策
TNHC	徦
TNHE	稰
TNHF	篃
TNHG	䪠
TNHH	㸨
TNHQ	䙻
TNIE	㣯
TNIG	徲
TNIP	自民党
TNJF	從那時起
TNJH	刉
TNJQ	衛冕
TNJT	衛星通信
TNKH	徫
TNKN	㦣
TNKR	秘史
TNKS	衛
TNKY	讆
TNLA	衛國
TNNA	笢
TNNO	乞憐
TNNT	從那以後
TNNW	筷
TNOB	物以類聚
TNOR	得心應手
TNPN	秘密会议
TNPV	迄今
TNQO	秘魯
TNRG	衛兵
TNRO	稅收製度
TNRQ	自己的
TNRR	喬裝打扮
TNSA	知情權
TNSB	身居要職
TNSI	徇情枉法
TNTF	簈
TNTG	入情入理
TNTK	物以稀為貴
TNTN	䅏
TNTT	知己知彼
TNTW	利改稅
TNTY	㩿
TNUA	箳
TNUF	稺
TNUO	復習資料
TNUW	從屬關係
TNVF	秘書長
TNVU	稱心如意
TNWE	穋
TNWG	秘傳
TNWO	身心健康
TNWP	身心傷害
TNWW	自己人
TNWY	籊
TNXN	秜
TNXR	身懷絕技
TNYF	乞討
TNYI	各民主党派
TNYJ	自以為是
TNYM	各民主党派中央
TNYN	秘訣
TNYT	各民族
TNYU	利己主義
TNYW	笖
TNYY	秘方
TOAD	愁苦
TOAF	翻蓋
TOAO	䉀
TOAW	穬
TOBF	䎹
TOBH	䣋
TODI	秋耕
TODM	程度不同
TODO	各廠礦
TODU	積勞成疾
TODW	行業不正之風
TOEU	翻騰
TOEW	翻臉
TOFB	翻地
TOFG	秋雨
TOFH	翻越
TOFQ	秩序井然
TOFW	生米煮成熟飯
TOGD	秋天
TOGG	㣸
TOGR	待業青年
TOGW	穙
TOGY	甃
TOHI	延慶縣
TOIB	徹底清除
TOIT	徹底清算
TOIU	湬
TOIW	循序漸進
TOIY	翻滾
TOJD	繁榮昌盛
TOJF	稥
TOJM	番禺
TOJQ	繁榮景象
TOJU	蝵
TOKG	番號
TOKM	程序員
TOLB	鄱
TOLE	勫
TOLF	釋
TOLG	翻轉
TOLH	飜
TOLO	鷭
TOLW	䆏
TOLY	㽃
TOMG	釉
TOMH	㡑
TONH	秋收
TONO	犥
TONT	徹底性
TONU	悉
TONX	簏
TONY	釈
TOOD	徹底粉碎
TOOE	簩
TOOH	㹙
TOOJ	秋糧
TOOK	㹚
TOPV	翻案
TOPW	愁容
TOPX	繁榮富強
TOQC	秋色
TOQF	鍫
TOQG	鹙
TOQI	徹底解決
TOQX	翻錄
TORA	徒勞無功
TORG	秋后算帐
TORH	翻看
TORJ	揫
TORT	秋播
TORU	徒勞無益
TOSG	醔
TOSU	怎麼樣
TOTA	䅊
TOTB	秋季
TOTE	翻船
TOTG	物業管理
TOTH	翻版
TOTM	翻身
TOTO	翻番
TOTP	繁榮穩定
TOTT	行業自律
TOTU	秋冬季
TOTX	秋後算帳
TOUD	怎麼辦
TOUG	翻開
TOUN	愁悶
TOUO	簾
TOUS	翻新
TOUW	翻閱
TOUX	行業壟斷
TOVF	媝
TOVG	翻建
TOVI	穅
TOVK	篖
TOVT	䉤
TOWA	翻供
TOWB	待業保險
TOWC	䉬
TOWH	翻修
TOWK	從業人員
TOWN	㣹
TOWO	鶖
TOWT	秋風掃落葉
TOWV	秋分
TOWY	䧽
TOXF	愁緒
TOXG	徹底結束
TOXI	私營經濟
TOXT	釋疑解惑
TOYF	繁榮市場
TOYL	翻譯家
TOYT	釋放
TOYY	程序設計
TPAC	千軍萬馬
TPAF	簺
TPAI	知之甚少
TPAK	各軍區
TPAQ	知之甚多
TPAR	千家萬戶
TPBB	管子
TPBG	牸
TPBW	從實際出發
TPDK	犗
TPDQ	重視不夠
TPDR	從容不迫
TPDY	行之有效
TPEB	航空學院
TPEH	管用
TPEY	秾
TPFC	簆
TPFD	穩定增長
TPFI	徖
TPFQ	筦
TPFS	先富起來
TPFT	管教
TPFW	特定場合
TPGE	稼
TPGF	适宜于
TPGG	箮
TPGJ	管理人员
TPGK	管事
TPGM	穦
TPGO	航空事業
TPHG	從寬處理
TPHN	管理
TPHT	穩定上升
TPIA	航空港
TPIP	利害沖突
TPIT	秘密活動
TPJQ	很容易
TPJW	䈿
TPKF	乏味
TPKG	垂帘听政
TPLH	㹆
TPLP	管轄權
TPLW	管界
TPNF	穩定局勢
TPNM	䈼
TPNN	動之以情
TPNS	㣷
TPNT	穩定性
TPNX	穩定情緒
TPOP	延安精神
TPPG	管家
TPPL	航空運輸
TPQB	箢
TPRG	航空兵
TPRH	千禧年
TPRJ	航空攝影
TPRM	管制
TPRT	各軍兵種
TPRX	管樂
TPSF	管材
TPSJ	䇡
TPSR	笑容可掬
TPSU	筞
TPTA	秺
TPTK	稽察特派員
TPTO	後空翻
TPTR	各家各戶
TPTU	航空航天工業部
TPTW	穩定物價
TPUK	䉱
TPUT	管道
TPUW	利害關係
TPVB	管好
TPWA	箜
TPWG	奧運會
TPWJ	秘密會晤
TPWK	穃
TPWM	升官發財
TPWN	航空公司
TPWO	鴔
TPWW	特定條件
TPWY	篧
TPXN	㸰
TPXR	管線
TPXT	航空母艦
TPXX	秘密組織
TPYA	管護
TPYI	簶
TPYT	稱之為
TQAA	籛
TQAL	自然世界
TQAN	秖
TQAY	牴
TQBB	衝鋒陷陣
TQBH	自負盈虧
TQBJ	衡陽
TQBT	犓
TQBU	先鋒隊
TQDM	頹廢
TQDO	千錘百煉
TQDQ	自然而然
TQDS	衡量
TQDY	簷
TQEE	䈥
TQEF	䈸
TQEG	䉏
TQEH	觕
TQEN	物力
TQER	䇟
TQES	䚘
TQEY	䉉
TQFB	自留地
TQFD	黎城
TQFG	自然地理
TQFM	衡南
TQFR	臭名遠揚
TQFS	移栽
TQFT	自然規律
TQFY	篯
TQGF	自然環境
TQGJ	穞
TQGQ	自然現象
TQGS	銜接
TQGU	黎平
TQGW	千鈞一發
TQID	牛角尖
TQII	衡水
TQIU	筄
TQIV	千金小姐
TQIY	物流
TQJA	臭名昭著
TQJB	箰
TQJF	筍
TQJG	徇
TQJN	穐
TQKC	䅓
TQKF	笱
TQKG	㣘
TQKK	物品
TQKN	科貿中心
TQKQ	䅋
TQKT	黎川
TQLG	移轉
TQLV	自然數
TQLW	自然界
TQME	物體
TQMM	衡山
TQMT	頹敗
TQNA	移民
TQNB	笣
TQND	移居
TQNG	徇情枉法
TQNI	重金屬
TQNN	翻然悔悟
TQOA	知名度
TQOG	物業
TQOJ	穭
TQOO	邊角廢料
TQOU	物料
TQOW	頹廢
TQPT	身外之物
TQQC	物色
TQQJ	特色鮮明
TQQQ	行色匆匆
TQQU	自然免疫
TQQY	移动
TQRH	向錢看
TQRN	惣
TQRR	笏
TQRT	物理
TQRU	銜接
TQSF	移植
TQST	先鋒模範
TQSW	复印机
TQTB	笷
TQTC	徇私舞弊
TQTE	自然科學基金
TQTF	籦
TQTG	犂
TQTH	睝
TQTI	黎巴嫩
TQTJ	䖿
TQTK	物种
TQTN	㥎
TQTO	黧
TQTP	邌
TQTQ	錅
TQTR	䇖
TQTS	棃
TQTT	物種
TQTV	剓
TQTW	身負重傷
TQUD	移送
TQUF	笉
TQUG	自然美
TQUI	利多弊少
TQUQ	物資供應
TQVI	籙
TQVP	自然災害
TQWA	自然保護區
TQWF	知名人士
TQWI	自然風光
TQWS	物体
TQWT	物件
TQWU	䇜
TQWW	物价
TQWY	自然保護區
TQXG	䆋
TQXI	自然經濟
TQYD	物產
TQYG	物主
TQYJ	䉧
TQYT	黎族
TQYV	生儿育女
TQYW	移交
TQYY	彴
TRAD	物質基礎
TRAF	箝
TRAH	箍
TRAI	稀薄
TRAJ	簎
TRAL	科技工業園
TRAU	科技攻關計劃
TRAV	科技攻關計劃
TRAW	科技工作
TRBP	我院
TRBT	稯
TRBW	科技隊伍
TRCB	筢
TRCY	笟
TRDC	稀鬆
TRDD	生搬硬套
TRDE	稀有
TRDG	我厂
TRDH	稀土
TRDJ	科技成果
TRDO	科技大廈
TRDR	生拉硬拽
TRDS	稀奇古怪
TRDY	知無不言
TREC	科技服務
TRED	科技興邦
TREH	御用
TREJ	科技力量
TREL	科技興國
TREM	科技興農
TREU	穩操勝券
TRFA	自掘墳墓
TRFD	物質鼓勵
TRFF	稀土
TRFH	循环
TRFM	科技支農
TRFP	特邀嘉賓
TRFW	科技熱
TRFY	程控電話
TRGA	科技型
TRGD	從無到有
TRGF	篁
TRGG	徨
TRGI	物質刺激
TRGK	㸸
TRGL	籒
TRGO	科技事業
TRGW	科技整合
TRHA	我處
TRHI	禦寒
TRHS	衘
TRHW	篪
TRHY	笊
TRIE	穆
TRIG	短斤少兩
TRIP	我党
TRIT	稀少
TRIU	䇬
TRIY	秼
TRJF	科技日報
TRJH	千年虫
TRJJ	千年蟲
TRJP	牛鬼蛇神
TRKB	䉗
TRKE	箉
TRKF	筘
TRKK	复制品
TRKM	郵遞員
TRKX	科技戰線
TRLA	我國
TRLF	籜
TRLO	㣳
TRLV	科技圖書
TRLW	科技界
TRLX	自投羅網
TRMF	科技周
TRMP	物質財富
TRMR	科技體製
TRMS	䘖
TRMT	逢年過節
TRNA	科技改革
TRND	物質獎勵
TRNF	科技情報
TRNH	稀疏
TRNN	我局
TRNO	犔
TRNU	臭氧層
TROC	秩序
TROG	臭氣燻天
TROI	我廠
TRPA	御寒
TRPL	我軍
TRPU	徒手空拳
TRPW	稀罕
TRQC	䈭
TRQG	科技金融
TRQK	科技孵化器
TRQL	籀
TRQQ	篼
TRRF	篺
TRRJ	特技攝影
TRRN	我所
TRRO	科技推廣
TRRT	科技投入
TRRU	笅
TRRW	科技扶貧
TRSF	穆棱
TRSH	我想
TRSR	短兵相接
TRSW	程控机
TRSX	程控機
TRSY	我校
TRTE	動手動腳
TRTF	箄
TRTG	科技管理
TRTH	從技術上
TRTI	物質生活水平
TRTJ	物質待遇
TRTN	䉥
TRTP	科技奧運
TRTR	穩扎穩打
TRTS	動手術
TRTU	物質利益
TRTW	矯揉造作
TRTY	科技知識
TRUF	延年益壽
TRUI	科技資源
TRUK	科技部
TRUO	科技資料
TRUU	科技新聞
TRUW	科技開發
TRUY	科技咨詢
TRWC	䉟
TRWF	科技人才
TRWG	特邀代表
TRWH	科技進步獎
TRWJ	科技含量
TRWK	科技人員
TRWN	科技進步獎
TRWR	科技体制
TRWT	科技信息
TRWU	我們
TRWW	籡
TRWX	循化
TRWY	秩
TRXJ	䖸
TRXO	鵝
TRXY	我们
TRYF	科技市場
TRYI	科技交流
TRYJ	物質文明建設
TRYK	短缺商品
TRYM	血氣方剛
TRYS	程控交換機
TRYT	徼
TRYU	禦敵
TRYY	我方
TSAD	奧林匹克運動會
TSAF	重要基地
TSAH	篐
TSAK	䉩
TSAW	簯
TSBB	箱子
TSBG	重要職責
TSCE	很可能
TSCO	積極態度
TSCR	自相矛盾
TSCU	重要通道
TSDH	适可而止
TSDL	重要原因
TSDP	䉦
TSDT	待機而動
TSDW	入木三分
TSEJ	重要力量
TSFF	生机勃勃
TSFH	＾
TSFI	徱
TSFJ	種植場
TSFR	積極支持
TSFY	籈
TSGF	笨重
TSGG	重要一環
TSGR	自相殘殺
TSHF	箱
TSID	從來沒有過
TSIE	䈾
TSII	自來水
TSIM	從來沒有過
TSIU	重要渠道
TSJF	簟
TSJS	䉓
TSJX	重要影響
TSKF	笴
TSKG	牱
TSKL	重要戰略
TSLF	種植園
TSLG	重要因素
TSLS	重要思想
TSMG	矯枉過正
TSMP	重要內容
TSNH	後來居上
TSNR	物极必反
TSNT	重要性
TSOG	種植業
TSPF	喬遷之喜
TSPI	䉘
TSPW	積極宣傳
TSQL	籕
TSQT	盤根錯節
TSRB	笨拙
TSRC	重要的經驗
TSRD	版權所有
TSRF	重要批示
TSRL	重要的原因
TSRQ	重要的
TSRS	身材魁梧
TSRT	移植手術
TSRW	積極推進
TSRY	重要措施
TSSF	重要標志
TSSG	和林格爾
TSSH	從根本上
TSSU	篥
TSSY	㣩
TSTE	積極穩妥地
TSTF	積極穩妥地
TSTG	笨重
TSTK	䈷
TSTO	知根知底
TSTQ	動植物
TSTT	積極行動
TSUJ	重要問題
TSUN	積極開展
TSUU	重要意義
TSWB	積極分子
TSWC	重要任務
TSWE	重要作用
TSWN	重要進展
TSWR	重要依据
TSWT	重要途徑
TSWW	徠
TSWY	我相信
TSXC	重要經驗
TSXW	重要組成部分
TSYD	重要方面
TSYG	術語
TSYH	重要文獻
TSYJ	重要說明
TSYP	䢤
TSYQ	重要方針
TSYS	術語
TSYT	積極主動
TSYW	重要文件
TSYY	秫
TTAA	牧工
TTAE	特等功
TTAH	䇨
TTAJ	牧草
TTAK	牧區
TTAL	禾苗
TTAN	秅
TTAO	船舶工業總公司
TTAQ	復蘇
TTAR	适得其反
TTAT	生物工程
TTAU	重重難關
TTAW	種花
TTBB	牛鼻子
TTBF	行行出狀元
TTBG	垂簾聽政
TTBI	生物防治
TTBM	衝出
TTBN	算得了
TTBP	衛生院
TTBS	自我陶醉
TTBT	䅎
TTBU	衛生防疫
TTCE	行得通
TTCQ	往往能夠
TTCR	自身矛盾
TTCW	移動通信
TTDC	自告奮勇
TTDF	筈
TTDG	秳
TTDH	衝破
TTDJ	衝壓
TTDK	犞
TTDO	千秋大業
TTDP	篷车
TTDR	復原
TTDT	復種面積
TTDU	笑
TTDY	秗
TTEC	微笑服務
TTEM	復興
TTER	笑貌
TTET	節節勝利
TTEW	笑臉相迎
TTFB	生動地
TTFD	衝垮
TTFE	䅤
TTFF	聳入雲霄
TTFG	箠
TTFH	䄭
TTFJ	秊
TTFK	牿
TTFM	穳
TTFN	牦
TTFO	㷏
TTFP	筳
TTFQ	筅
TTFS	各種規格
TTFT	先行者
TTFY	身先士卒
TTGA	各种形式
TTGF	種
TTGG	牲
TTGH	牪
TTGL	微循環
TTGM	衝刺
TTGR	短短一年
TTGS	衝
TTGT	千篇一律
TTGW	千秋万代
TTGX	㘒
TTGY	攵
TTHF	笮
TTHG	稱得上
TTHH	簁
TTHP	筵
TTII	生動活潑
TTIM	動物油
TTIN	和稀泥
TTIP	簡繁漢字
TTIT	私生活
TTIU	各种渠道
TTIY	短篇小說
TTJG	往往是
TTJJ	筣
TTJT	復
TTKE	自衛戰爭
TTKF	笿
TTKG	䅂
TTKJ	種種蹟象表明
TTKK	牲口
TTKM	復員
TTLA	重重困難
TTLF	動物園
TTLG	怎么回事
TTLL	丿
TTLO	自行車廠
TTLU	生物圈
TTLW	生物界
TTLX	篦
TTMD	䉛
TTME	生物體
TTMT	䉠
TTNA	牧民
TTNF	從自己做起
TTNG	行動迅速
TTNH	特等獎
TTNI	各種情況
TTNL	自動裝置
TTNN	衛生局
TTNR	復習資料
TTNT	秭
TTNY	夂
TTOA	每季度
TTOB	衛生廳
TTOD	種類
TTOG	各行業
TTOI	造船廠
TTOL	䉒
TTON	㣰
TTOU	篍
TTPA	復賽
TTPE	復寫
TTPG	自我實現
TTPH	先行官
TTPJ	自知之明
TTPP	甜甜蜜蜜
TTPR	自行安排
TTPT	復審
TTPU	自我完善
TTPW	笑容
TTQI	衝銷
TTQQ	簃
TTQT	衝鋒陷陣
TTRB	篽
TTRH	衝掉
TTRI	籞
TTRK	生物制品
TTRL	復種指數
TTRM	復制
TTRN	衛生所
TTRQ	短短的
TTRR	和和气气
TTRS	衝殺
TTRT	生物技術
TTRU	徇私舞弊
TTRY	自我批評
TTSA	自衛權
TTSC	息息相通
TTSF	種植業
TTSG	笑柄
TTSI	徇私枉法
TTSJ	復查
TTSL	後生可畏
TTSS	自動柜員機
TTSU	筿
TTSY	復核
TTTB	秋冬季
TTTE	先知先覺
TTTG	我行我素
TTTH	彳
TTTI	自生自滅
TTTM	秋後算帳
TTTN	從重從快
TTTO	各行各業
TTTQ	微生物
TTTS	各種各樣
TTTT	禾
TTTU	自身利益
TTTW	冬季奧運會
TTUB	我知道了
TTUF	犐
TTUG	牧羊
TTUH	靠邊站
TTUI	生物資源
TTUJ	牧童
TTUK	衛生部
TTUN	復闢
TTUQ	自籌資金
TTUU	笗
TTUW	季節差價
TTUY	循循善誘
TTVG	箻
TTVT	種群
TTVY	重復建設
TTWC	繁重任務
TTWD	從各個方面
TTWE	生物化學
TTWF	從我做起
TTWG	短短几天
TTWH	篵
TTWI	利稅分流
TTWN	自我發展
TTWS	生物体
TTWU	復位
TTWV	復仇
TTWW	衛生保健
TTWX	生身父母
TTWY	靠得住
TTXG	龝
TTXM	笑納
TTXR	復線
TTXW	行動綱領
TTXX	衛生組織
TTYA	各种方式
TTYB	和盤託出
TTYE	我很高興
TTYG	各自為政
TTYJ	復課
TTYO	笑談
TTYT	種族
TTYU	復議
TTYV	行動計劃
TTYW	復交
TTYX	牲畜
TTYY	自行設計
TUAA	千辛萬苦
TUAD	後半期
TUAJ	䈂
TUAK	千差萬別
TUAQ	乘警
TUBB	籠子
TUBG	簡陋
TUBJ	簡陽
TUBW	乘除
TUBY	冬防
TUDB	犈
TUDC	千姿百態
TUDD	科大
TUDE	科長
TUDF	䉸
TUDG	科研成果
TUDH	㸔
TUDT	簡歷
TUDV	生前友好
TUEB	生意興隆
TUEC	䉨
TUED	籠
TUEG	科舉
TUEJ	箭头
TUEP	穟
TUER	科學家
TUEV	筋疲力盡
TUFE	科協
TUFF	利益均霑
TUFH	科
TUFI	利益均沾
TUFJ	後半場
TUFK	乎
TUFN	乯
TUFT	科教兴国
TUFU	簡報
TUFY	科普教育
TUGA	千辛万苦
TUGC	冬至
TUGD	冬天
TUGH	徉
TUGI	籣
TUGK	箭頭
TUGO	䅵
TUGY	犧
TUHH	科目
TUHY	従
TUIC	物資流通
TUID	簡潔
TUIF	乘法
TUIH	生龍活虎
TUII	得意洋洋
TUIK	簡況
TUIN	冬汛
TUIT	科普活動
TUIY	冬泳
TUJE	簡明扼要
TUJF	簡
TUJG	等問題
TUJJ	螽
TUJN	篭
TUJQ	簡易
TUKB	篰
TUKF	箁
TUKG	犃
TUKK	簡單化
TUKM	科員
TUKR	簡史
TULB	身兼數職
TULG	乘車
TULH	籠罩
TULJ	䉕
TULM	利益團體
TULT	簡略
TUME	簡體字
TUMT	徶
TUNB	乥
TUNH	簡裝
TUNN	物資局
TUNT	重新恢复
TUNU	䉍
TUNW	郵資已付
TUNY	自尊心
TUPE	簡寫
TUPG	科室
TUPP	等閒視之
TUPT	乘客
TUPY	德新社
TUQE	得道多助
TUQK	䈮
TUQM	䆅
TUQW	䅆
TURF	科技人员
TURG	簡捷
TURH	向前看
TURW	向前推進
TUSL	箭樓
TUSO	簡樸
TUSV	簡要
TUSW	乘机
TUSX	乘機
TUSY	簡述
TUTA	毛遂自荐
TUTB	冬季奥运会
TUTD	簡短的
TUTE	乘船
TUTF	從北向南
TUTG	簅
TUTS	衜
TUTT	犪
TUTV	科委
TUTX	䶱
TUUE	冬閒
TUUH	各部門
TUUJ	簡章
TUUK	物資部
TUUO	科普活动
TUUT	得意門生
TUVF	䈉
TUVI	從善如流
TUVO	稴
TUWG	剩余
TUWJ	簡介
TUWL	䅬
TUWN	向前發展
TUWO	鷑
TUWW	乘坐
TUWX	簡化字
TUWY	剩餘
TUXB	科級
TUXC	躬新細務
TUXG	簡練
TUXN	物資總局
TUXT	稊
TUXV	乘客
TUXW	䆊
TUXX	稵
TUXY	籠統
TUYG	得意忘形
TUYI	物資交流
TUYK	冬訓
TUYN	科盲
TUYT	科普讀物
TUYU	簢
TUYY	重新認識
TVAC	各盡其能
TVAD	很苦
TVAE	物盡其用
TVAK	很難說
TVCB	節目
TVCE	節能降耗
TVCJ	蠞
TVCQ	穊
TVCU	笯
TVDD	很大的
TVDE	秘書長
TVDG	很硬
TVDI	筆耕不輟
TVDM	穩如泰山
TVDS	衟
TVDW	節奏性
TVEK	筆架
TVEL	簋
TVEP	很受
TVEY	很多
TVFC	節支
TVFD	很坏
TVFH	筆直
TVFJ	簫
TVFT	筆者
TVFW	很熱
TVFY	很壞
TVGA	筆形
TVGH	律
TVGJ	筆者
TVGK	筆頭
TVGP	犍
TVGX	自始至終
TVGY	瓾
TVHA	秘書處
TVHH	節目主持人
TVHI	魏縣
TVHQ	覣
TVID	節減
TVIF	筆法
TVIH	很小
TVII	節水型
TVIM	節油
TVIP	很沉
TVIR	委派
TVIT	很少
TVIU	箓
TVIY	節流
TVJF	很早
TVJJ	節日期間
TVJQ	很晚
TVKD	筆順
TVKF	笤
TVKH	筆蹟
TVKM	委員會
TVLF	筆墨
TVLG	很輕
TVLN	犣
TVLS	從群眾中來
TVMA	委曲求全
TVNB	委屈
TVNH	䉋
TVNI	很遲
TVNJ	很慢
TVNN	很快
TVNW	第九屆人民代表大會
TVNY	委以
TVOA	節煤
TVOJ	簘
TVPD	逶迤
TVPG	很富
TVPH	箒
TVPL	重建家園
TVPW	很窮
TVPX	委實
TVQE	筆觸
TVQK	筆名
TVQQ	很多
TVQT	筆鋒
TVQX	筆錄
TVQY	很久
TVRC	魏
TVRG	犩
TVRJ	䭳
TVRM	節製生育
TVRN	節氣
TVRQ	微妙的
TVRR	節拍
TVRT	委托
TVSF	筆杆子
TVTB	逶迤
TVTD	很短
TVTG	很重
TVTH	動畫片
TVTJ	很香
TVTK	䇹
TVTW	筆答
TVTX	節後
TVUE	節前
TVUL	怎好意思
TVUW	很冷
TVVB	很好看
TVVF	筆畫
TVVP	委婉
TVWA	筆供
TVWN	律師事務所
TVWQ	很低
TVWT	委任
TVWW	節儉
TVWY	節餘
TVXC	很強
TVXQ	節約能源
TVXU	很弱
TVYA	筆試
TVYC	節育
TVYK	很高
TVYL	筆譯
TVYM	筆調
TVYN	筆記
TVYO	筆談
TVYT	委託
TVYU	笂
TVYY	牣
TWAE	自食其力
TWAF	先進工作者
TWAI	徐匯
TWAJ	自食其果
TWAQ	我們歡迎
TWAU	筏
TWAW	籌備工作
TWAY	笩
TWBB	篩子
TWBE	穩住陣腳
TWBJ	自作聰明
TWBQ	租賃承包
TWBS	行使職權
TWBU	聳人聽聞
TWCE	慫恿
TWCF	垼
TWCN	稅務
TWCQ	㣞
TWCT	䈗
TWCU	䇗
TWCY	役
TWDA	後會有期
TWDE	我們有
TWDH	從不間斷
TWDI	待价而沽
TWDM	頽
TWDT	生命在於運勳
TWDW	身价百倍
TWDX	秉公而斷
TWDY	物歸原主
TWEJ	後備力量
TWEN	生命力
TWEO	复合肥料
TWET	身体力行
TWFA	各個地區之間
TWFE	自發勢力
TWFF	稅款
TWFH	科倫坡
TWFI	稌
TWFK	先進武器
TWFQ	千億元
TWFU	符
TWFY	各個地方
TWGA	籥
TWGC	簽到
TWGE	篟
TWGF	筌
TWGG	牷
TWGH	從政
TWGI	先進政黨
TWGJ	劄
TWGK	答
TWGM	籲
TWGR	箯
TWGS	徐
TWGT	籢
TWGU	簦
TWGW	簽
TWHE	㹋
TWHG	待人處事
TWHH	稅目
TWHI	物價上漲
TWHS	篠
TWHU	䇚
TWHX	從此以後
TWIA	從江
TWIC	黐
TWID	䵕
TWIE	䵚
TWIF	䵛
TWIG	先進水平
TWIH	從小到大
TWII	徐水
TWIJ	㓿
TWIK	黏
TWIL	䵗
TWIP	我們黨
TWIQ	䵙
TWIR	我們黨的
TWIU	黍
TWIY	䵑
TWJF	從早到晚
TWJG	答題
TWJJ	節假日
TWJW	移風易俗
TWKG	符號
TWKH	筗
TWKK	從嚴治黨
TWKM	穨
TWKQ	稅收
TWKW	德令哈
