AAA	工
KHU	足
KHV	跟
KHW	趴
KHX	嘴
KHY	卟
KID	川流不息
KIE	哨
KIF	中小城市
KIG	咣
KIH	啵
KII	唦
KIK	吵嘴
KIM	嗩
KIP	嚐
KIR	哨所
KIT	吵
KIW	中小企業
KJA	嗶
KJB	嘬
KJE	喝彩
KJF	哩
KJG	呾
KJH	呻
KJI	喝酒
KJJ	唱
KJK	呻吟
KJL	嗢
KJM	喁
KJN	口是心非
KJQ	喝
KJR	吃里爬外
KJS	嗮
KJT	唱片
KJU	喅
KJW	雖
KJX	㖂
KJY	雖說
KKA	噐
KKB	郘
KKC	唈
KKD	器
KKE	哵
KKF	鄂
KKG	吅
KKH	串
KKI	口水
KKJ	丳
KKK	品
KKL	戰
KKM	
KKN	嘂
KKO	戰火
KKP	斝
KKQ	呪
KKR	口气
KKS	槑
KKT	品种
KKU	遻
KKV	咆哮如雷
KKW	咒
KKX	單純
KKY	喌
KLA	嘓
KLB	中國隊
KLC	中國通
KLD	嗯
KLE	喟
KLF	嘿
KLG	呬
KLH	呷
KLI	嚃
KLK	咽喉
KLL	戰略思想
KLM	嘪
KLN	戰略性
KLO	中國煙草總公司
KLP	嗹
KLQ	啰
KLR	中國的
KLS	中國核工業總公司
KLT	中國科學院
KLU	嚺
KLV	嘍
KLW	中國人
KLX	囉
KLY	中國文化
KMA	嗣
KMB	鄖
KMC	中央預算
KMD	喘
KME	勛
KMF	啁
KMG	哃
KMH	鄖縣
KMI	中央党校
KMK	路由器
KML	中央國家機關
KMM	嚶
KMN	喎
KMO	中央精神
KMP	中央社
KMQ	中央銀行
KMR	中央的
KMS	中央機關
KMT	吶
KMU	員
KMV	中央書記處
KMW	嗺
KMX	中央紀委
KMY	唄
KNA	叫苦
KNB	啒
KNC	哪能
KND	吳
KNE	哪兒
KNF	中心城市
KNG	哪
KNH	叫
KNI	囑
KNJ	哪里
KNK	噼
KNL	中心思想
KNM	唰
KNN	呡
KNO	叫座
KNQ	哪儿
KNR	遺憾的是
KNS	吳橋
KNT	㕧
KNU	躍居首位
KNV	叫好
KNW	吷
KNX	呢
KNY	吣
KOA	喥
KOB	順應了
KOF	唱對臺戲
KOG	噗
KOH	㖢
KOI	順應潮流
KOK	嘮叨
KOO	嘮
KOP	中庸之道
KOQ	噒
KOS	嘛
KOV	嘃
KOY	咪
KPA	噻
KPD	嗐
KPE	口蜜腹劍
KPF	唍
KPG	喧
KPH	喧鬧
KPK	喧嚷
KPL	喗
KPN	嘧
KPQ	啘
KPT	喀
KPU	中宣部
KPV	咹
KPW	嚓
KPX	咜
KQA	呧
KQB	兄
KQD	嘫
KQE	啗
KQF	喚起
KQG	唫
KQH	別處
KQI	咷
KQJ	別
KQK	呴
KQL	別國
KQM	喚
KQN	咆
KQO	嚕
KQP	別字
KQQ	哆
KQR	吻
KQS	喚醒
KQT	唙
KQU	呁
KQV	喼
KQW	吹
KQX	躍然紙上
KQY	嚠
KRA	唣
KRB	听取
KRC	呱
KRD	唏
KRE	哌
KRF	唕
KRG	㕷
KRH	啣
KRI	史
KRK	哪年哪月
KRL	嘸
KRM	嚹
KRN	別無選擇
KRO	史料
KRP	史實
KRQ	啲
KRR	啪
KRS	咑
KRT	啤
KRU	啦
KRV	史書
KRW	呹
KRX	喞
KRY	噭
KSA	中西醫結合
KSB	喀麥隆
KSC	只要能
KSD	喖
KSF	嘌
KSG	哂
KSH	叮
KSI	呆滯
KSJ	喳
KSK	呵
KSL	㘄
KSM	呆帳
KSP	中樞神經
KSR	唽
KSS	噤
KST	嚴格管理
KSU	呆
KSV	喓
KSW	嘜
KSX	嚴格紀律
KSY	㕲
KTA	噬
KTB	唀
KTC	另行通知
KTD	咶
KTE	吃力
KTF	唾
KTG	吽
KTH	川
KTI	呼和浩特
KTJ	唎
KTK	咯
KTL	囖
KTM	噢
KTN	吃惊
KTO	啾
KTP	路透社
KTQ	嚟
KTR	哦
KTS	呼机
KTT	吃透
KTU	呼
KTV	唩
KTW	中和作用
KTX	啼笑皆非
KTY	呚
KUB	嗍
KUD	咲
KUE	嚨
KUF	呌
KUG	嗟
KUH	吖
KUI	中美洲
KUJ	噫
KUK	哾
KUL	噌
KUN	
KUP	單親家庭
KUQ	嚪
KUS	噂
KUT	喭
KUU	中美關係
KUV	唼
KUW	嗌
KUX	嗞
KVA	噚
KVC	唧
KVD	嗜好成癖
KVE	哏
KVF	嘯
KVG	㖀
KVH	嚍
KVI	㖨
KVK	嗈
KVN	㕤
KVO	嘨
KVP	唚
KVR	叧
KVS	嚴肅查處
KVT	叨
KVW	䬭
KVY	嚴肅認真
KWA	唯其
KWB	咃
KWC	嗡
KWD	只有
KWE	只用
KWF	啥
KWG	哈
KWH	只占
KWI	只當
KWJ	吤
KWK	哈哈
KWL	嗰
KWM	呼倫貝爾盟
KWN	喉
KWP	哈密
KWQ	唯獨
KWR	嗲
KWS	咻
KWT	喺
KWU	中俄關係
KWV	吩
KWW	唑
KWX	吪
KWY	叭
KXB	吸引了
KXE	呦
KXG	喙
KXH	吲
KXI	中級法院
KXJ	咈
KXK	吆喝
KXM	㖰
KXN	叱
KXQ	喲
KXR	囂張氣燄
KXT	中紀委
KXU	中組部
KXW	哛
KXX	嘰
KXY	吆
KYA	咬牙
KYB	唁函
KYC	唷
KYD	單方面
KYF	唁電
KYG	唁
KYI	貴州省
KYK	嚷
KYN	咳
KYP	忠於祖國
KYQ	唱主角
KYR	囄
KYS	中高檔
KYT	㕫
KYU	啼
KYV	啷
KYW	吭
KYX	呟
KYY	呅
LAA	軾
LAB	國際
LAC	國務
LAD	國有
LAE	國力
LAF	國土
LAG	軭
LAH	轞
LAI	罪孽深重
LAJ	羃
LAK	國
LAL	國界
LAM	國內
LAN	國情
LAO	國慶
LAP	國家
LAQ	國外
LAR	困難戶
LAS	國歌
LAT	國籍
LAU	轥
LAV	國畫
LAW	異
LAX	羈絆
LAY	國產
LBA	國防工業
LBB	國際聯網
LBC	輙
LBD	囝
LBE	國際輿論
LBF	國際地位
LBG	四子王旗
LBH	國際上
LBI	國際水平
LBJ	國際影響
LBK	擊中
LBL	國際國內
LBM	擊敗
LBN	輒
LBO	團隊精神
LBP	國際社會
LBQ	國際貿易
LBR	國際舞臺
LBS	國際標準
LBT	國際先進水平
LBU	國際競爭
LBV	國防建設
LBW	擊
LBX	國際組織
LBY	國際市場
LCA	罷工
LCB	國務院
LCC	輟
LCD	輽
LCE	罷
LCF	圗
LCI	囜
LCK	囼
LCM	圎
LCN	罞
LCO	罵
LCP	罷官
LCQ	國務卿
LCR	罷手
LCT	國務委員
LCU	國務部長
LCW	畯
LCX	車馬費
LCY	罷課
LDA	因其
LDB	軛
LDC	軷
LDD	固
LDE	囿
LDF	罟
LDG	轱
LDH	罘
LDI	因
LDJ	罨
LDM	輀
LDN	恩
LDO	罽
LDP	固定
LDQ	欭
LDR	較大的
LDS	畸
LDT	轣
LDU	轑
LDV	固始
LDW	輳
LDX	國有經濟
LDY	軑
LEA	男式
LEB	罦
LED	男朋友
LEE	㘞
LEF	胃
LEG	䢁
LEK	胃口
LEL	國與國
LEM	男嬰
LEN	男性
LEQ	輗
LER	男
LES	男權
LET	㽖
LEV	嬲
LEW	男人
LEY	男方
LFA	轒
LFB	黑子
LFC	囩
LFD	轜
LFE	黑勢力
LFF	畦
LFG	置于
LFH	軒
LFI	団
LFJ	䍐
LFK	園
LFL	默默
LFM	罱
LFN	疇
LFO	黑
LFP	黑客
LFQ	黑色
LFR	因地制宜
LFS	黑板
LFT	署
LFU	睪
LFV	轌
LFW	畉
LFX	置疑
LFY	黑夜
LGA	輕工
LGB	囤
LGC	輊
LGD	囯
LGE	輔
LGF	還需
LGG	軖
LGH	車
LGI	還清
LGJ	轉
LGK	還
LGL	疅
LGM	輛
LGN	還將
LGO	還應
LGP	回天之力
LGQ	軏
LGR	男青年
LGS	還要
LGT	轉移
LGU	軯
LGV	輕
LGW	輕佻
LGX	團結
LGY	轉變
LHA	轤
LHB	罩子
LHC	軙
LHD	罪
LHE	四月
LHF	四十
LHG	四万
LHH	四處
LHI	四海
LHJ	罩
LHK	㐃
LHM	四周
LHN	甲
LHO	四鄰
LHP	罪案
LHQ	罪犯
LHR	罪魁
LHS	甲板
LHT	四季
LHV	四書
LHW	四化
LHX	甲級
LHY	四方
LIA	還治其人之身
LIC	車水馬龍
LID	因小而失大
LIE	輎
LIF	塁
LIG	輄
LII	囦
LIJ	㘤
LIN	〇
LIP	疂
LIQ	圓滿解決
LIR	因小失大
LIS	固沙林
LIT	輸油管
LIU	眔
LIW	䳴
LIX	圓滿結束
LIY	四海為家
LJA	罼
LJD	黑暗面
LJG	畼
LJL	輼
LJQ	輵
LJR	眾星捧月
LJS	輠
LJU	因果關係
LJX	輥
LKA	回落
LKB	輯
LKC	圓通
LKD	回春
LKE	罥
LKF	軎
LKG	回到
LKH	甽
LKI	四川省
LKJ	回暖
LKK	回路
LKL	回國
LKM	圓
LKN	回收
LKO	回廊
LKP	迴
LKQ	軦
LKR	回扣
LKS	回想
LKT	回答
LKU	回首
LKV	圖書
LKW	軹
LKX	圖紙
LKY	回族
LLB	田聯
LLD	䍛
LLE	疊加
LLF	畕
LLG	圜
LLH	䡛
LLJ	田野
LLK	㘡
LLL	田
LLN	罳
LLO	轟炸
LLP	轋
LLQ	疊印
LLR	默默無聞
LLS	田林
LLT	田徑
LLU	田間
LLV	男男女女
LLW	轀
LLY	圐
LMB	軸承
LMC	買通
LMD	圌
LME	男同學
LMF	畘
LMG	軸
LMH	軕
LMK	國內戰爭
LMM	異曲同工
LMN	軸心
LMO	固體燃料
LMP	團體賽
LMQ	國內外
LMR	團體操
LMS	買票
LMT	國內先進水平
LMU	買
LMW	軜
LMX	α
LMY	國內市場
LNA	輾
LNB	轏
LND	顋
LNE	圍墾
LNF	罻
LNG	翈
LNH	輕裝上陣
LNI	思潮
LNJ	思量
LNK	圍
LNL	輾轉
LNN	軋
LNQ	軋鋼
LNR	軋製
LNS	思想
LNT	國民生產總值
LNU	思
LNV	圍剿
LNW	罹
LNX	國民經濟
LNY	回收率
LOD	軟磨硬泡
LOF	轉業幹部
LOG	轐
LOH	黑燈瞎火
LOJ	國慶日
LOL	點對點協議
LOM	國營農場
LON	轆
LOP	轉業軍人
LOQ	轔
LOT	國慶節
LOU	䍘
LOW	國營企業
LOX	國營經濟
LOY	國營商業
LPA	數字式
LPB	國家隊
LPC	連通
LPD	轄
LPE	畳
LPF	輐
LPG	國家專利
LPH	輨
LPI	國家法
LPJ	連日
LPK	連
LPL	畹町
LPM	國家體委
LPN	國家民委
LPO	置之度外
LPP	國家安全
LPQ	畹
LPR	連接
LPS	國家標準
LPT	國家科委
LPU	固定資產
LPV	國家建設
LPW	固定价格
LPX	連續
LPY	國家計委
LQA	軝
LQC	軟驅
LQD	軒然大波
LQE	輡
LQF	斬釘截鐵
LQJ	蜀
LQK	輓
LQL	䡘
LQM	軟體
LQN	軳
LQO	連鎖店
LQP	因名額有限
LQQ	黑色金屬
LQR	囫
LQS	軟禁
LQT	軟盤
LQU	畇
LQW	軟
LQX	軟弱
LQY	畂
LRA	團的工作
LRB	䍟
LRC	畈
LRD	磛
LRE	暫且
LRF	塹
LRG	軼事
LRH	斬
LRI	輕描淡寫
LRJ	暫
LRK	蹔
LRL	轉折點
LRM	眾所周知
LRN	慙
LRO	數據庫
LRP	罪魁禍首
LRQ	鏨
LRR	暫缺
LRS	槧
LRT	黑白片
LRU	轉折關頭
LRV	㜞
LRW	軼
LRX	轢
LSA	困惑
LSD	思想感情
LSF	困境
LSG	輏
LSH	町
LSI	思想活躍
LSJ	甼
LSK	軻
LSM	思想體系
LSP	思想家
LSQ	思想包袱
LSR	困扰
LSS	罧
LST	困乏
LSU	䍒
LSV	思想建設
LSW	思想体系
LSX	思想統一
LSY	思想方法
LTA	墨竹工卡
LTB	回答了
LTC	輻射能
LTD	轎
LTE	輈
LTF	軞
LTG	畽
LTH	䡻
LTI	囷
LTJ	輹
LTK	略
LTL	罪行累累
LTM	因特网
LTN	圖片展
LTO	轓
LTP	因循守舊
LTR	回答提問
LTT	略微
LTU	轷
LTV	恩重如山
LTW	略作
LTX	畮
LTY	畋
LUA	軿
LUB	圈子
LUD	圈
LUE	䡵
LUF	輔導報告
LUG	畔
LUI	黑龍江
LUJ	疃
LUK	輔導員
LUL	罾
LUR	図
LUS	輶
LUT	回首往事
LUU	輔導站
LUV	男尊女卑
LUX	罤
LUY	車間主任
LVA	數萬
LVB	男女隊
LVD	囡
LVE	數學
LVF	婁
LVG	甊
LVH	數目
LVJ	罺
LVK	軺
LVL	輜
LVN	軌
LVO	婁底
LVP	遱
LVR	數據
LVT	數
LVU	軌道
LVV	數九
LVW	鷜
LVY	軔
LWA	輪式
LWB	界限
LWC	撃
LWD	圙
LWE	軫
LWF	囶
LWG	輸
LWI	囚
LWJ	界
LWK	軟件中心
LWL	輪回
LWN	䡄
LWO	固体燃料
LWP	界定
LWQ	囚犯
LWR	軟件技術
LWS	囚禁
LWT	畟
LWU	界首
LWV	鴨
LWW	眾
LWX	囮
LWY	㽗
LXB	甲級隊
LXC	羅馬
LXD	團結奮鬥
LXE	軪
LXF	團結協作
LXG	團結一致
LXH	羄
LXI	羅漢
LXK	羂
LXL	累累
LXM	羅山
LXN	連續性
LXO	毗鄰
LXP	羅定
LXQ	墨綠色
LXR	軟弱無力
LXT	羅盤
LXW	羅
LXX	毗
LXY	輕紡產品
LYA	較難
LYB	眾議院
LYC	轍
LYD	圁
LYE	畩
LYF	詈
LYG	罜
LYI	較少
LYJ	罰
LYK	輬
LYL	較輕
LYM	回顧過去
LYN	甿
LYP	較之
LYQ	較多
LYR	較近
LYT	較短
LYU	較差
LYV	較好
LYW	較
LYX	圝
LYY	較高
MAA	賤
MAB	曲子
MAD	曲
MAE	農用
MAF	嵌
MAG	屸
MAH	岈
MAI	曲沃
MAJ	刪
MAK	冊
MAL	購買
MAM	購
MAN	岠
MAO	農業
MAP	農家
MAQ	嵽
MAR	曲折
MAS	農村
MAT	峣
MAU	曲靖
MAV	農奴
MAW	典
MAX	曲線
MAY	戝
MBB	㕀
MBG	㞨
MBH	邖
MBI	崡
MBJ	骨子里
MBN	貤
MBQ	內聯外引
MBR	㞧
MBT	屷
MBX	內聯網
MBY	岌
MCA	峅
MCB	岜
MCC	嵾
MCD	㟥
MCF	財務報表
MCH	財務處
MCI	禸
MCK	貽
MCM	峻岭
MCN	財務收支
MCR	財務製度
MCS	剛柔相濟
MCT	財務管理
MCU	財務部
MCW	峻
MCX	財務紀律
MCY	貽誤
MDA	巁
MDB	內在聯繫
MDD	岩石
MDE	賬
MDF	岸
MDG	岵
MDH	艷
MDI	央
MDJ	崦
MDK	豐足
MDL	盎
MDM	耑
MDN	贓
MDO	炭
MDP	豐富
MDQ	盎然
MDR	屵
MDS	崎
MDT	央行
MDU	嶚
MDV	賑災
MDW	峽
MDX	賎
MDY	贆
MEA	髒
MEB	農學院
MEC	體驗
MED	髓
MEE	崩
MEF	骨
MEG	岄
MEH	骳
MEI	崩潰
MEJ	髁
MEK	體味
MEL	髏
MEM	體
MEN	髎
MEO	髍
MEP	髖
MEQ	骶
MER	屴
MES	骵
MET	骼
MEU	骿
MEV	崢
MEW	鶻
MEX	嵠
MEY	骸
MFA	周期
MFC	岐
MFD	冉
MFE	骨干力量
MFF	峙
MFG	周末
MFH	屽
MFI	周游
MFK	週
MFL	贖
MFN	嶹
MFO	財迷
MFP	周密
MFQ	岏
MFR	周年
MFS	財權
MFT	財
MFU	雕塑
MFW	崚
MFX	財經
MFY	雕刻
MGA	岍
MGB	由表及里
MGC	峌
MGD	同感
MGE	豳
MGF	同志
MGG	同一
MGH	同步
MGI	賕
MGJ	崠
MGK	同
MGL	財政困難
MGM	嶆
MGN	甹
MGO	同類
MGP	同窗
MGQ	屼
MGR	典型的
MGS	同机
MGT	同行
MGU	岼
MGV	崨
MGW	同仁
MGX	峓
MGY	農副產品
MHA	巇
MHB	帽子
MHC	岥
MHD	帳
MHE	幍
MHF	幬
MHG	幅
MHH	帖
MHI	帩
MHJ	帽
MHK	巾
MHL	幗
MHM	巾幗
MHN	冂
MHO	幞
MHP	帎
MHQ	峴
MHR	帕
MHS	帄
MHT	幡
MHU	幢
MHV	㠴
MHW	帆
MHX	㠲
MHY	由衷
MIA	財源茂盛
MID	巌
MIE	峭
MIF	埊
MIG	過渡政府
MII	山清水秀
MIJ	崉
MIK	丹江口
MIM	䞆
MIN	峭壁
MIP	贘
MIR	過河拆橋
MIT	由淺入深
MIU	汖
MIV	崇洋媚外
MIW	嵴
MJA	同時期
MJB	過日子
MJD	囬
MJF	㞱
MJG	崵
MJH	則
MJI	雕虫小技
MJJ	䞎
MJL	同盟國
MJM	嵎
MJP	同盟軍
MJQ	賜
MJU	同時並舉
MJW	同時代
MJX	崑
MKB	嶯
MKD	冋
MKG	肉中刺
MKH	㞲
MKI	巖溶
MKK	巖
MKN	巖層
MKP	迥
MKQ	貺
MKR	賊喊捉賊
MKU	㟕
MKW	嶉
MLA	農田基本建設
MLD	崮
MLE	購買力
MLF	嶧
MLG	嵔
MLH	岬
MLI	農田水利
MLJ	周轉量
MLK	峰回路轉
MLL	㠥
MLN	崽
MLR	嶄
MLS	周恩來
MLU	嶄新
MLV	嶁
MLW	幽默風趣
MMA	嶩
MMB	山陽
MMC	崗巴
MMD	岟
MME	山腰
MMF	峀
MMG	岫
MMH	屾
MMI	山水
MMJ	岀
MMK	山路
MMM	山
MMN	骨肉情
MMO	山庄
MMP	山寨
MMQ	鑍
MMR	罌
MMS	山西
MMT	贁
MMU	崗
MMV	嬰
MMW	鸎
MMX	剛剛結束
MMY	賏
MNA	岷
MNB	㐕
MND	崌
MNF	嶎
MNG	囙
MNH	嵋
MNI	過渡
MNJ	過時
MNK	過路
MNM	過
MNN	屺
MNO	過度
MNP	農民運動會
MNQ	過多
MNR	嶍
MNS	過來
MNT	過程
MNU	過關
MNV	囘
MNW	嵺
MNX	過細
MNY	過於
MOA	農業區劃
MOB	農業院校
MOD	農業大學
MOE	農業用地
MOF	賍
MOG	嶪
MOL	農業國
MOM	嶗山
MOO	嶸
MOQ	嶙
MOR	農業技術
MOS	農業機械
MOT	農業科技
MOU	農業部
MOV	嵣
MOW	農業人口
MOX	農業經濟
MOY	同類產品
MPA	崇敬
MPB	敗家子
MPD	迪
MPE	農家肥料
MPF	崇
MPI	䢙
MPJ	崇明
MPK	辿
MPL	賱
MPM	內容豐富
MPO	迪慶
MPP	周密安排
MPQ	同案犯
MPR	崇拜
MPS	貯
MPT	內容簡介
MPU	㞫
MPV	峖
MPW	崆
MPX	岮
MPY	崇高
MQA	岻
MQB	岇
MQD	贍
MQE	崅
MQF	崟
MQG	崯
MQJ	峋
MQK	岣
MQM	巍然屹立
MQN	翙
MQQ	嵚
MQR	岉
MQT	嶽
MQU	贍養
MQW	㰞
MQY	嵧
MRA	㟛
MRB	嵏
MRC	販
MRD	崤
MRF	网址
MRG	岶
MRH	岓
MRI	罓
MRK	肉制品
MRN	网民
MRO	网迷
MRP	周年之際
MRQ	嵬
MRR	羀
MRT	崥
MRU	网站
MRW	嶊
MSA	嶘
MSD	嵿
MSF	農村幹部
MSG	農村政策
MSI	山西省
MSJ	嵖
MSK	岢
MSM	岢嵐
MSN	農村改革
MSO	農機廠
MSQ	農村金融
MSR	同樣的
MSS	崊
MST	農林牧副漁
MSV	崾
MSW	崍
MSX	農村經濟
MSY	嵀
MTA	內功
MTB	農科院
MTC	內務
MTD	峰
MTE	內臟
MTF	巑
MTG	貹
MTH	岝
MTI	嵊泗
MTJ	峲
MTK	賂
MTL	賉
MTM	嶶
MTN	屹
MTO	嶓
MTP	貶
MTQ	巍然
MTR	峨
MTS	內遷
MTT	內科
MTU	嵊
MTV	巍
MTW	嵷
MTX	體系結構
MTY	敗
MUA	朑
MUB	胐
MUC	脧
MUD	過意不去
MUE	巃
MUF	岦
MUG	嵯
MUJ	嶂
MUK	賠
MUL	贈
MUM	剛
MUN	剛性
MUO	朥
MUP	雕塑家
MUQ	胊
MUR	嶄新的
MUS	崷
MUT	嵃
MUU	膧
MUV	賺
MUW	巕
MUX	嵫
MUY	罔
MVE	峎
MVG	峍
MVH	贐
MVI	㟤
MVK	岧
MVL	崰
MVR	屶
MVT	峮
MVU	賑災義演
MVY	屻
MWA	岑鞏
MWC	嵡
MWE	肉用
MWF	賒
MWG	崙
MWH	峜
MWI	岑溪
MWJ	岕
MWK	冏
MWM	囧
MWN	巋
MWO	肉麻
MWP	同命運
MWR	賠償損失
MWT	嵐
MWU	㞤
MWV	岎
MWW	肉
MWX	㟆
MWY	嶺
MXA	幽雅
MXE	岰
MXF	幽靈
MXG	幽靜
MXH	巓
MXI	幽深
MXJ	岪
MXK	嵹
MXL	幽默
MXQ	幽怨
MXS	幽禁
MXT	嶷
MXU	嵶
MXW	幽谷
MXX	幽
MXY	㟂
MYA	雘
MYB	丹陽
MYC	丹巴
MYD	丹
MYE	彤
MYF	訔
MYG	丹青
MYH	嵩縣
MYI	體育活動
MYJ	刐
MYK	嵩
MYL	丹田
MYM	嵩山
MYN	賅
MYO	崇高精神
MYP	體育運動
MYR	崇高的敬意
MYS	丹棱
MYT	崺
MYU	㞵
MYV	崀
MYW	峧
MYX	體育組
MYY	㞶
NAA	恜
NAB	展出
NAC	展台
NAD	愜
NAE	展
NAF	展示
NAG	羾
NAH	慳
NAI	异常
NAJ	羿
NAK	慪
NAL	懵
NAM	愥
NAN	屟
NAO	民營
NAP	懞
NAQ	憯
NAR	民兵
NAS	民歌
NAT	懂
NAU	民意
NAV	民
NAW	殿
NAX	慌張
NAY	慌
NBA	避孕藥
NBB	懾
NBC	憨態
NBD	㞌
NBE	屈服
NBF	聼
NBG	敢于
NBH	邔
NBI	敢當
NBK	㥛
NBM	屈
NBN	忚
NBR	敢打
NBS	屙
NBT	敢
NBW	敢做
NBY	忣
NCC	慘
NCD	司務長
NCE	悀
NCF	怪
NCG	怪事
NCH	慘劇
NCI	㞋
NCJ	司馬昭之心路人皆知
NCK	怡
NCL	怪罪
NCM	慘敗
NCN	忬
NCP	慘案
NCR	性騷擾
NCT	恈
NCU	怪癖
NCV	㞎
NCW	悛
NCY	慅
NDA	惰
NDB	怀孕
NDC	翇
NDD	居
NDE	懮
NDF	屒
NDG	怙
NDH	怌
NDJ	懨
NDK	居中
NDM	怖
NDN	居民
NDO	恢
NDP	居室
NDQ	居然
NDR	慡
NDS	必不可少
NDT	恢复
NDU	憭
NDV	慘不忍睹
NDW	悏
NDX	怀疑
NDY	忕
NEA	懚
NEB	以貌取人
NEE	恊
NEF	必須增強
NEG	怚
NEH	必須具有
NEI	必須注意
NEJ	必須是
NEK	心服口服
NEM	收受賄賂
NEN	民用飛機
NEP	懓
NEQ	獎學金
NER	愮
NES	選舉權
NET	忇
NEU	心臟病
NEW	裝腔作勢
NEX	慀
NEY	心力交瘁
NFA	憤
NFB	屆
NFC	怯
NFD	懦
NFF	恃
NFG	迅速
NFH	慎
NFI	慰
NFJ	蝨
NFK	卂
NFL	慎思
NFM	局域网
NFN	懤
NFO	懗
NFP	迅
NFQ	忨
NFR	迅捷
NFS	情報檢索
NFT	屠
NFU	悻
NFV	迅即
NFW	懎
NFX	懦弱
NFY	忖
NGA	以毒攻毒
NGB	那
NGC	屋
NGD	刁
NGE	情
NGF	䍿
NGG	忹
NGH	怔
NGI	司法
NGJ	慱
NGK	司
NGL	情思
NGM	怲
NGN	怴
NGO	民政廳
NGP	民事案件
NGQ	屍
NGR	以下的
NGS	司机
NGT	那么
NGU	怦
NGV	悽
NGW	司令
NGX	愫
NGY	情商
NHA	憈
NHB	郿
NHC	収
NHD	眉
NHE	胥
NHF	遐
NHG	卍
NHH	懼
NHI	疋
NHJ	蛋
NHK	丩
NHL	收回
NHM	眉山
NHN	收尾
NHO	蛋糕
NHP	收割
NHQ	鹛
NHR	以上的
NHS	疏松
NHT	收
NHU	收益
NHW	鶥
NHX	收費
NHY	疏
NIA	情況匯報
NIE	屑
NIF	違法者
NIG	恍
NIH	眉清目秀
NII	尿
NIJ	遲早
NIL	屬
NIM	惝
NIN	悄悄
NIP	憆
NIQ	悄然
NIR	悩
NIS	司法機關
NIT	犀
NIU	司法部
NIX	遲緩
NIY	屬於
NJA	懪
NJD	心照不宣
NJE	避暑胜地
NJF	悍
NJG	怛
NJH	丱
NJI	愰
NJK	民盟中央
NJL	慢
NJM	避暑山庄
NJN	慢性
NJP	心曠神怡
NJQ	惕
NJR	那時的
NJS	惈
NJT	惺
NJW	那時候
NJX	惃
NJY	憬
NKA	違
NKB	避孕
NKC	悒
NKD	心中有數
NKE	悁
NKF	吢
NKG	悜
NKH	忡
NKI	違法
NKJ	避暑
NKK	憚
NKL	壁壘
NKM	屌
NKN	悞
NKP	避寒
NKQ	怳
NKR	壁挂
NKS	違禁
NKT	♂
NKU	壁
NKV	譬如
NKW	怾
NKX	違紀
NKY	以史為鑒
NLA	翼
NLD	乪
NLE	屢受
NLF	懌
NLG	怬
NLK	恛
NLL	裝甲車
NLN	愢
NLP	慩
NLR	慚
NLS	悃
NLU	快車道
NLV	屢
NLW	慍
NLX	㦬
NLY	愣
NMA	憹
NMD	惴
NME	愲
NMF	惆
NMG	恫
NMH	刷
NMI	屃
NMJ	㞯
NMK	恫嚇
NMM	屭
NMN	惆悵
NMP	必由之路
NMR	情同手足
NMT	改過自新
NMU	惘
NMW	慛
NMY	收購計劃
NNA	選
NNB	局限
NND	局面
NNE	選舉
NNF	愉快地
NNG	己
NNH	忸
NNI	快活
NNJ	選題
NNK	愇
NNL	乙
NNM	心惊肉跳
NNN	忋
NNO	必將對
NNP	選定
NNQ	慷慨解囊
NNR	慴
NNS	恰恰相反
NNT	怭
NNU	忌
NNV	乜
NNW	快
NNX	怩
NNY	羽
NOA	懭
NOD	已類左框心屍羽
NOG	㦠
NOH	惦
NOI	屎
NON	慷慨
NOO	惔
NOQ	憐
NOS	懡
NOT	民營科技企業
NOU	心煩意亂
NOV	慷
NOW	惦念
NOX	民營經濟
NOY	惦記
NPC	慎之又慎
NPD	屪
NPE	迉
NPF	悰
NPG	愃
NPH	悺
NPJ	慏
NPL	惲
NPM	心寬體胖
NPN	懧
NPP	收容審查
NPQ	惋
NPR	收容所
NPS	以禮相待
NPT	愘
NPW	屄
NPY	收視率
NQA	忯
NQB	
NQC	懈怠
NQD	恑
NQE	懈
NQF	必然趨勢
NQG	惍
NQI	恌
NQJ	恂
NQK	怐
NQM	愌
NQN	怉
NQO	心急火燎
NQQ	恀
NQR	惚
NQS	收錄機
NQT	獎金稅
NQU	心猿意馬
NQV	
NQW	忺
NQX	必然結果
NQY	懰
NRA	惶惑
NRB	忷
NRC	㤆
NRD	恡
NRE	習用
NRF	習
NRG	怕
NRH	忻
NRI	習水
NRJ	習題
NRK	蛋制品
NRL	憮
NRM	以失敗而告終
NRN	愾
NRP	選拔賽
NRQ	愧
NRR	懫
NRS	屈指可數
NRU	愧疚
NRW	怢
NRX	㦡
NRY	憿
NSD	屢禁不止
NSF	慓
NSG	恓
NSH	忊
NSI	杘
NSJ	憛
NSK	違禁品
NSN	必要性
NSO	憟
NSP	裝機容量
NSR	必要的
NSS	慄
NST	違禁物品
NSW	必要條件
NSX	裝配線
NSY	怵
NTA	屜
NTB	悸
NTC	性能
NTD	恬
NTE	必
NTF	尾
NTG	性
NTH	屣
NTI	收入水平
NTJ	愎
NTK	恪
NTL	屨
NTM	懊
NTN	忔
NTO	愀
NTP	必定
NTQ	必然
NTR	改掉
NTS	必要
NTT	履
NTU	改善
NTV	改建
NTW	鴓
NTX	悔
NTY	改
NUA	屏
NUB	改善了
NUC	飛馳
NUD	㞐
NUE	憪
NUF	翌
