aaaa	工
wquj	低音
wqum	保留意见
wqut	低产
wquu	供销部门
wqvb	你好
wqvd	依然如故
wqvg	
wqwd	低估
wqwp	供销合作社
wqwq	依然停留
wqws	侵犯人权
wqwu	你们
wqww	低价
wqwy	㐸
wqxb	低级
wqxi	僧多粥少
wqyf	集贸市场
wqyg	㑾
wqyj	保鲜剂
wqyn	代名词
wqyt	几句话
wqyw	低效
wqyy	你方
wraa	便携式
wrah	风雅
wrai	风范
wran	保持警惕
wrar	保护区
wrat	人所共知
wraw	今后工作
wrbb	父子
wrbj	爷
wrbm	他指出
wrbn	保持了
wrbq	仓皇出逃
wrbw	风险
wrcb	爸
wrcg	风骚
wrcy	仮
wrde	倄
wrdg	僵持不下
wrdh	俙
wrdq	伊拉克
wrdr	保持克制
wrdu	保持原状
wrdx	欲擒故纵
wrdy	人所不为
wrec	飕
wref	做手脚
wreg	㸖
wren	风力
wrer	风貌
wres	风采
wret	售后服务
wrfc	风云
wrfg	风雨
wrfh	风趣
wrfj	㸙
wrfn	风声
wrfs	风霜
wrft	父老
wrfu	釜
wrfv	风雪
wrga	今后一段时期
wrgd	凰
wrgf	保护环境
wrgg	保持一致
wrgk	风速
wrgm	人手一册
wrgo	几年来
wrgp	优势互补
wrgw	㑟
wrhd	父辈
wrhk	飐
wrhw	飓
wrif	风潮
wrig	风光
wrih	风波
wrii	风沙
wrij	风湿
wril	保持沉默
wrim	风尚
wriy	侏
wrja	风暴
wrjg	低质量
wrjj	信誓旦旦
wrjy	风景
wrkf	风味
wrkk	风口
wrku	保持中立
wrlg	保护国
wrlh	儛
wrln	飔
wrlo	㒇
wrls	㸘
wrmk	㸗
wrmm	釜山
wrmr	保护网
wrmt	众所周知
wrna	体制改革
wrnf	保护层
wrng	今年以来
wrnn	㐹
wrno	㑶
wrnr	飏
wroa	风度
wroo	飚
wros	风靡
wrpa	风寒
wrpe	保护视力
wrpo	风灾
wrqc	傀
wrqg	八爪鱼
wrql	飗
wrqn	飑
wrqq	爹
wrqs	人质危机
wrqw	俽
wrrg	几年后
wrrh	㑜
wrrj	斧
wrrk	分兵把口
wrrm	儨
wrrn	风气
wrro	今年年底
wrrp	今年年初
wrrq	今年的
wrru	信托投资
wrsh	从技术上
wrst	风格
wrsw	便携机
wrtf	俾
wrtg	风行
wrtm	风向
wrtn	伯乐
wrtp	保持稳定
wrtq	风筝
wrts	保护知识产权
wrtw	公报私仇
wrty	低投入
wrud	风头
wrug	保持着
wruj	风韵
wruk	优质产品
wrul	保护装置
wruq	风姿
wrus	父亲
wrvc	拿手好戏
wrvj	几年如一日
wrvv	父女
wrvw	传播媒体
wrvx	剑拔弩张
wrwe	何年何月
wrwf	侏儒
wrwj	保质保量
wrwn	信托公司
wrwr	爸爸
wrws	保护人权
wrwt	今后任务
wrwu	保护伞
wrww	保护人
wrwx	风化
wrwy	佚
wrxb	低年级
wrxi	保护母亲河
wrxn	父母
wryg	保持高度一致
wryn	风扇
wrys	坐失良机
wryt	儌
wryy	保护主义
wsad	佳木斯
wsbb	命根子
wsbp	体院
wscg	体验
wsdh	何在
wsdm	体面
wsdn	僊
wsdp	分析研究
wsdw	分配不公
wsdy	体态
wsen	体力
wsfe	体协
wsff	体坛
wsfi	僄
wsfv	人杰地灵
wsfy	体裁
wsga	体型
wsgg	体
wsgk	休整
wsgm	体现
wsgt	价格政策
wshh	何止
wshi	价格上涨
wshk	休战
wsif	公检法
wsii	追根溯源
wsij	人丁兴旺
wsip	何尝
wsjf	何时
wsjh	剁
wskf	体味
wskg	何
wskk	合格品
wskm	售票员
wsld	人机界面
wslg	债权国
wsmh	体贴
wsmw	体内
wsna	价格改革
wsnt	何必
wsnu	恷
wsny	何以
wsou	烋
wsoy	僳
wspa	休赛
wspg	分析家
wspk	修桥补路
wspo	追根究底
wspw	体察
wsqg	鸺
wsqh	体外
wsrf	体质
wsrk	体操
wsrm	体制
wsro	分配制度
wsrp	人格操守
wsrr	体魄
wsrt	借机报复
wsru	分析批判
wssc	分配权
wssh	从根本上
wssi	僸
wsst	体格
wssw	体检
wssy	傈
wsta	从西向东
wstd	休憩
wstf	何等
wstg	体重
wsth	休息
wstk	体积
wstv	体委
wstw	人权委员会
wstx	体系
wsuf	休养
wsuk	何况
wsus	休闲
wsuu	人权状况
wsvg	偠
wswb	分析人士指出
wswc	倯
wswf	体会
wswg	价格优惠
wswn	休假
wswo	价格低廉
wswr	价格倒挂
wsws	傈僳
wswt	价格体系
wsww	债权人
wswx	人格化
wsxw	分配比例
wsyc	体育
wsyg	人机交互
wsyl	何谓
wsyn	合格证书
wsyt	何为
wsyx	合格率
wsyy	体谅
wtad	任期
wtaf	优秀工作者
wtag	人身攻击
wtah	优秀项目
wtak	优秀共产党员
wtan	仛
wtaq	储备基金
wtar	保税区
wtas	倾向艺术
wtaw	俄共
wtay	伥
wtbb	傻子
wtbg	㑧
wtbj	人造卫星
wtbk	任职
wtbm	作出
wtbn	作了
wtbu	侨联
wtcf	作对
wtcm	人生观
wtcy	仫
wtda	人生在世
wtdd	八大
wtdf	任重而道远
wtdg	伤感
wtdj	侨
wtdk	倁
wtdl	什么原因
wtdn	八成
wtdw	公私不分
wtdy	何乐而不为
wtee	八月
wteg	任县
wteh	作用
wten	创造力
wtep	侨务办公室
wteq	侨胞
wtet	伤
wtew	侨办
wtey	侜
wtfc	全自动
wtfd	贪得无厌
wtfe	偛
wtff	八卦
wtfg	任
wtfh	仟
wtfi	䋕
wtfj	优秀教师
wtfk	俈
wtfm	赁
wtfn	恁
wtfo	鵀
wtfp	信得过
wtfq	侁
wtfr	从长远看
wtfs	栠
wtft	作者
wtfu	优秀干部
wtfw	凭
wtfy	作坊
wtgc	作到
wtgd	几天
wtge	働
wtgf	倾向于
wtgg	八一
wtgh	件
wtgj	风行一时
wtgk	什么事
wtgl	作画
wtgo	叙利亚
wtgq	几万
wtgr	值得一提
wtgu	修复一新
wtgw	舍身救人
wthf	作
wthg	㑅
wthk	作战
wthn	㤰
wtht	似笑非笑
wtic	货币流通
wtid	几乎没有
wtif	作法
wtik	优秀党员
wtit	偷税漏税
wtiu	值得注意
wtja	䫹
wtjc	䬒
wtjd	今冬明春
wtje	颩
wtjf	几时
wtjg	信息量
wtjh	俐
wtji	飃
wtjj	几日
wtjk	颭
wtjl	飀
wtjm	䬙
wtjn	颸
wtjo	颷
wtjq	䬈
wtjt	颬
wtju	作息时间
wtjv	䫸
wtjw	什么时候
wtjx	䬁
wtjy	颰
wtkg	食物中毒
wtkh	八路
wtkk	作品
wtkm	公务员
wtkn	信息中心
wtkr	优秀品质
wtky	偊
wtlf	作罢
wtlg	俄国
wtll	合乎逻辑
wtls	优秀思想
wtlt	傻
wtlw	侨界
wtma	作曲
wtmf	几周
wtmh	任由
wtmj	货物周转量
wtmp	创造财富
wtmt	㑗
wtmw	货币贬值
wtmx	信息网络
wtna	侨民
wtnc	作怪
wtnf	创造性地
wtng	贪生怕死
wtnn	仡
wtnq	分秒必争
wtnt	创造性
wtnu	什么情况
wtny	全身心
wtoa	几度
wtog	作业
wtol	僠
wton	作废
wtoo	信息数据库
wtop	创造精神
wtoq	凤毛麟角
wtoy	储备粮
wtpd	伤害
wtpg	作家
wtpl	俄军
wtpr	众矢之的
wtpt	作客
wtpv	作案
wtpw	信息社会
wtpy	凭祥
wtqe	八角
wtqf	分片包干
wtqj	㒐
wtqk	任免
wtqq	公积金
wtqv	优秀儿女
wtrc	傻瓜
wtrd	几乎所有
wtrg	任丘
wtrh	几年
wtri	人生哲学
wtrm	分税制
wtrn	信息技术有限公司
wtro	作息制度
wtrq	合适的
wtrr	几乎所有的
wtrs	信息技术
wtrv	伤势
wtry	俄
wtsc	优先权
wtsh	令行禁止
wtst	任务相当繁重
wtsu	什么样
wtsw	全盘西化
wttb	作秀
wtte	任务
wttf	几千
wttg	信息处理
wtti	信息科学
wttk	￥
wttm	人身自由
wtto	几番
wttq	作物
wtts	几条
wttt	值得称赞
wttu	几乎
wttw	创造条件
wttx	信息系统
wtty	翁牛特旗
wtuc	伤痛
wtud	侨眷
wtuf	任重道远
wtug	凭着
wtuj	任意
wtuk	俱乐部
wtum	作弊
wtun	信息产业有限公司
wtuo	信息产业
wtuq	几次
wtut	人行道
wtuu	信息产业部
wtuv	伤痕
wtuy	佟
wtvg	倭
wtvw	依靠群众
wtwa	凭借
wtwb	优秀分子
wtwd	从各个方面
wtwf	优秀人才
wtwg	任命
wtwh	几个
wtwj	公私分明
wtwk	优秀作品
wtwm	八仙
wtwn	几亿
wtwp	人身伤害
wtwr	作风
wtws	任何
wtwt	几件
wtwu	几位
wtwv	几分
wtww	候选人
wtwx	信息化
wtwy	优生优育
wtxc	几经
wtxi	信息经济
wtxs	体系结构
wtxt	侨乡
wtxx	债务纠纷
wtxy	侮
wtyg	凭证
wtyk	信息高速公路
wtyl	舍身为国
wtyn	伤亡
wtyr	信息交换
wtyt	作为
wtyu	创造效益
wtyw	优秀文化
wtyx	低利率
wtyy	作文
wuaa	含辛茹苦
wuam	全部落网
wuaw	全部工作
wubb	位子
wubd	伴随
wubr	全部承担
wuck	领奖台
wudb	倦
wude	伴有
wudg	倍感
wudo	儯
wudp	坐立不安
wudw	伴奏
wudy	低头不语
wued	儱
wueg	僩
wuej	偂
wuek	倍加
wuep	倍受
wufa	华北地区
wufj	伞
wufq	亿美元
wufr	低头丧气
wufu	倍增
wuga	傞
wugf	位于
wugh	伴
wugj	代总理
wugk	传送带
wugn	从头到尾
wugo	公益事业
wugv	从头开始
wugw	全部责任
wuiv	公关小姐
wujf	僮
wujg	偣
wujq	傹
wukg	倍
wukk	化妆品
wukm	伤病员
wuko	分门别类
wukq	侻
wulf	位置
wulj	僧
wull	低产田
wumb	俯首帖耳
wumu	全部财产
wund	位居
wuop	创新精神
wuov	倍数
wuqq	公益金
wuqw	佽
wurk	健美操
wurp	传闻失实
wurq	分道扬镳
wuru	从总的情况
wury	登门拜访
wusf	僔
wusg	偤
wusq	儭
wusw	坐冷板凳
wutd	㑵
wute	偐
wutf	从北向南
wuts	集装箱
wutt	休养生息
wuug	合并症
wuuj	伴音
wuuq	位次
wuuy	创新意识
wuvg	倿
wuvi	从善如流
wuvo	傔
wuvt	休闲娱乐
wuvy	伴娘
wuwh	从总体上
wuwk	伴侣
wuwo	合资企业
wuww	僧人
wuxa	合资经营
wuxe	偝
wuxi	余音绕梁
wuxt	俤
wuxu	欲盖弥彰
wuxv	创新纪录
wuxy	代总统
wuye	贫病交加
wuyf	从头说起
wuyk	创新高
wuyt	依次为
wuyx	分辨率
wuyy	人道主义
wvaa	分工
wvad	分期
wvae	分散
wvaj	弅
wvaq	分获
wvar	分区
wvbb	分子
wvbf	倾巢出动
wvbg	分隔
wvbh	邠
wvbp	分院
wvbw	分队
wvcb	㑡
wvcq	众怒难犯
wvcy	伮
wvdf	八九不离十
wvdg	分厂
wvdh	健在
wvdm	颁
wvdn	分成
wvdw	伊春
wvdx	侵袭
wvey	佷
wvfb	盆地
wvfc	分支
wvff	坌
wvfg	分寸
wvfh	分赴
wvfn	分场
wvfs	盆栽
wvga	分开
wvgb	鄡
wvgc	鸌
wvgd	侵吞
wvge	鳨
wvgh	侓
wvgi	鵦
wvgk	做好事
wvgm	㠀
wvgn	鳦
wvgo	鷌
wvgp	健
wvgq	分裂
wvgs	鵌
wvgt	鵔
wvgu	鴤
wvgw	鳬
wvgx	从始至终
wvgy	瓫
wvhf	分歧
wvhh	分步
wvhk	侵占
wvia	分洪
wvig	分清
wvin	分泌
wvir	分派
wviy	分流
wvje	分明
wvjg	分量
wvjs	㑿
wvju	蚠
wvjy	盆景
wvke	分别
wvkg	佋
wvkx	兺
wvlf	盆
wvlg	创始国
wvln	儠
wvls	贫困
wvlt	侵略
wvlw	分界
wvmh	分贝
wvmj	岔
wvmm	分册
wvmu	贫
wvna	贫民
wvnd	分忧
wvnn	分局
wvnt	颁发
wvnu	忿
wvnv	仇恨
wvny	分心
wvod	分类
wvoh	分店
wvou	炃
wvov	健康
wvox	麄
wvpa	贫寒
wvpc	侵
wvpd	分割
wvpg	贫富
wvpp	分之
wvps	伊宁
wvpw	贫穷
wvqe	分解
wvqh	分外
wvqi	分销
wvqk	分钟
wvqn	侵蚀
wvqt	侵犯
wvrc	分摊
wvrd	侵扰
wvrj	分担
wvrt	分手
wvrw	借刀杀人
wvrx	分批
wvsc	侵权
wvsg	分配
wvsi	分档
wvsr	分析
wvss	传媒机构
wvsw	分机
wvtf	分等
wvtg	分行
wvtj	伊犁
wvtk	侰
wvtl	贫血
wvtm	健身
wvtp	分管
wvtt	伊
wvtu	分科
wvty	侵入
wvud	分辨
wvuf	健壮
wvug	健美
wvuh	分站
wvui	贫瘠
wvuk	分部
wvuq	颁奖
wvuu	分立
wvvc	伊始
wvvq	分娩
wvwd	分段
wvwf	分会
wvwg	健全
wvwo	鳻
wvww	创始人
wvwx	分化
wvxa	分红
wvxb	分级
wvxe	分组
wvxu	贫弱
wvxw	分给
wvyh	㒊
wvyk	分享
wvyn	健忘
wvyo	健谈
wvyr	分离
wvyt	分为
wvyv	伊朗
wvyw	分设
wvyy	仞
wwaa	人工
wwad	保修期
wwaf	个体劳动者
wwah	合作项目
wwai	坐落
wwan	人世
wwau	合作医疗
wway	个体工商户
wwbb	谷子
wwbf	耸
wwbn	伧
wwbq	个人承包
wwbw	仪仗队
wwby	人防
wwcd	人参
wwce	怂恿
wwcf	仅供参考
wwcg	人马
wwcm	价值观
wwcn	倊
wwct	人仰马翻
wwcu	癹
wwcw	价值观念
wwcy	令人难忘
wwdc	价码
wwdd	人大
wwde	傅全有
wwdf	令人感动
wwdg	使命感
wwdh	从不
wwdk	全体成员
wwdm	从而
wwdr	食欲不振
wwdw	依依不舍
wwdx	偷袭
wwdy	侃侃而谈
wweb	佩服
wwee	舒舒服服
wweg	俎
wwen	人力
wwey	人脑
wwfb	谷地
wwfc	侩
wwfd	坐
wwff	风风雨雨
wwfg	人士
wwfi	傺
wwfj	剉
wwfk	倽
wwfl	佩戴
wwfn	人声
wwfq	人均
wwfr	令人鼓舞
wwft	人才
wwfw	保值增值
wwfy	合作协议
wwga	风华正茂
wwgb	偸
wwgf	丛
wwgg	俭
wwgh	佩
wwgi	合作与交流
wwgj	偷
wwgk	从事
wwgn	欲与
wwgo	从来
wwgq	分化瓦解
wwgr	从何下手
wwgs	俆
wwgt	倾斜政策
wwgu	僜
wwgw	催化裂化
wwgy	任何一方
wwhh	令人瞩目
wwhx	从此
wwia	从江
wwic	人治
wwig	催人泪下
wwih	从小
wwik	全体党员
wwil	令人深思
wwio	偷渡
wwir	令人满意的
wwit	人海
wwiu	令人满意
wwix	个人消费
wwiy	人流
wwjf	从早
wwjg	份量
wwjh	价
wwjw	任何时候
wwjy	人影
wwka	谾
wwkb	郤
wwkc	谹
wwkd	豀
wwke	豂
wwkf	谷
wwkg	鹆
wwkh	从中
wwkj	任人唯贤
wwkk	人口
wwkm	人员
wwkn	䜲
wwko	䜯
wwkp	逧
wwkt	令人咋舌
wwku	耸人听闻
wwkv	䜪
wwkw	欲
wwky	㞃
wwlc	从轻
wwlf	价值连城
wwlp	任何国家
wwmh	佡
wwmr	个人崇拜
wwmu	个人财产
wwmw	伤风败俗
wwna	人民
wwnf	从领导做起
wwng	分公司
wwnk	依依惜别
wwnn	丛书
wwnr	令人发指
wwnt	人性
wwnu	怂
wwny	人心
wwod	人类
wwog	从业
wwol	人烟
wwoo	风风火火
wwop	全会精神
wwov	人数
wwpg	人家
wwpl	从军
wwpp	任人宰割
wwpt	份额
wwpw	从容
wwpy	合作社
wwqf	价钱
wwqg	个人负责
wwqk	人名
wwqn	使领馆
wwqq	众多
wwqt	人犯
wwqy	假借名义
wwrf	从今年起
wwrh	人年
wwrk	保健操
wwrm	合作制
wwrn	令人担忧
wwro	健全制度
wwrq	他们的
wwrr	集体所有制
wwrs	信任投票
wwrt	个人所得税
wwry	众人拾柴火焰高
wwsc	人权
wwsf	坐标
wwsh	俭朴
wwsk	谷歌
wwss	丛林
wwst	价格
wwsu	人梯
wwsw	人机
wwtc	凭什么
wwtd	集体智慧
wwtf	人造
wwtg	人生
wwti	个体私营经济
wwtj	偑
wwtk	人和
wwtl	集体积累
wwtm	人身
wwtq	人物
wwtr	个人得失
wwtt	分分秒秒
wwtu	个人利益
wwtw	华侨委员会
wwud	人头
wwue	从前
wwuj	人间
wwuq	人次
wwus	从新
wwut	合作关系
wwuu	耸立
wwuw	任何单位
wwvb	你们好
wwvh	仅仅如此
wwvo	鳯
wwvt	份
wwvy	作风建设
wwwa	保值储蓄
wwwb	人八登祭把头取
wwwc	个人全能
wwwd	从优
wwwe	令人信服
wwwf	价值
wwwg	人命
wwwh	从任何意义上
wwwj	公休假日
wwwk	俗
wwwn	全体人民
wwwo	集体企业
wwws	人体
wwwu	众
wwww	人
wwwx	从化
wwwy	从今
wwxa	合作经营
wwxc	创作经验
wwxf	个体经营者
wwxi	集体经济
wwxn	伦
wwxo	几何级数
wwxp	集会结社
wwxq	令人费解
wwxs	优化经济结构
wwxt	人人皆知
wwxw	优化组合
wwxx	人缘
wwyb	㑺
wwyc	伶
wwyf	从何谈起
wwyg	俗语
wwyi	使人高兴
wwyj	催化剂
wwyk	伦敦
wwym	僋
wwyn	个体户
wwyo	僬
wwys	集体主义思想
wwyt	人为
wwyy	人文
wxaa	化工
wxai	华东
wxaj	传统节日
wxao	化纤工业
wxau	公费医疗
wxbn	介绍了
wxbw	低级阶段
wxcg	化验
wxcr	从经验上看
wxcw	传统观念
wxdg	化石
wxdh	华夏
wxdm	倾
wxdn	化成
wxdp	货比三家
wxdy	传统友谊
wxec	化肥
wxek	货架
wxet	㑃
wxfa	佛塔
wxfc	货运
wxfd	倾城
wxff	货款
wxfh	几经考虑
wxfj	华
wxfk	低级趣味
wxfm	华南
wxfn	货场
wxft	佛教
wxfy	传统教育
wxge	华表
wxgj	㒩
wxgm	华丽
wxgu	修缮一新
wxgx	从弱到强
wxgy	伸张正义
wxhh	伄
wxid	货源
wxif	佛法
wxii	华沙
wxip	化学
wxiy	倾注
wxjf	华里
wxjg	供给量
wxjh	佛
wxkf	倾吐
wxkh	华中
wxkk	货品
wxkr	倾听
wxlg	货车
wxlw	货轮
wxmi	全线崩溃
wxmm	佛山
wxmr	几经周折
wxmu	货
wxnh	传统剧目
wxny	倾心
wxos	华灯
wxph	父母官
wxpv	华安
wxpw	华容
wxpy	佛祖
wxqc	货色
wxqe	化解
wxqi	倾销
wxqk	化名
wxqu	体弱多病
wxrh	㒙
wxrt	几经反复
wxsa	货柜
wxsc	仔细核对
wxsf	货票
wxte	货船
wxth	儗
wxtm	货币
wxtp	分组循环赛
wxtq	货物
wxtw	集结待命
wxub	化疗
wxuf	化装
wxul	货单
wxup	传经送宝
wxus	父母亲
wxut	传统美德
wxuv	化妆
wxux	华北
wxuy	佛门
wxvi	创纪录
wxwf	分组会
wxwg	倾斜
wxwj	㔇
wxwo	分级分类
wxwq	佛像
wxws	仔细分析
wxwt	华侨
wxwv	倾盆
wxww	华人
wxwx	集约化
wxwy	介绍信
wxxa	集约经营
wxxc	佛经
wxxn	仳
wxxq	华约
wxxr	偕
wxxt	化纤
wxxy	僟
wxyb	他强调指出
wxye	华裔
wxyf	传统市场
wxyg	货主
wxyi	公费旅游
wxym	他强调
wxyr	倾诉
wxyt	化为
wxyu	华商
wxyw	传统文化
wyaa	仪式
wyad	储藏
wyae	集散
wyaf	䭦
wyai	付诸东流
wyaj	䭙
wyak	饇
wyal	饚
wyap	便衣警察
wyar	餀
wyas	䭎
wyat	饊
wyau	会议期间
wyaw	凭证式国债
wyay	储蓄
wybc	领取
wybj	信阳
wybm	售出
wybp	住院
wybr	隽
wybw	领队
wycb	邻
wycc	餟
wyce	俼
wycg	鸰
wycj	刢
wycm	领
wycn	翎
wyco	鴒
wyct	餕
wycu	令
wycw	住房难
wycy	瓴
wyda	餴
wydb	分文不取
wydd	偏大
wyde	含有
wydg	仿古
wydh	储存
wydi	䭜
wydk	估计不足
wydm	几方面
wydn	集成
wydp	А
wyds	会议厅
wydt	邻邦
wydw	今春
wydy	供认不讳
wyeb	信服
wyee	饀
wyef	体育爱好者
wyeg	邻县
wyeh	食用
wyek	体育用品
wyen	㥋
wyep	偏爱
wyew	停办
wyey	依
wyfa	领域
wyfb	领地
wyff	领土
wyfh	仿真
wyfj	储
wyfk	风调雨顺
wyfl	饁
wyfm	饙
wyfn	体育场
wyfo	鶽
wyfq	偏远
wyfr	八方支援
wyfs	保证需要
wyft	信教
wyfu	饐
wyfy	傠
wyga	会议开幕
wygb	停顿
wygd	今天
wyge	仪表
wygf	餺
wygg	住
wygh	从这一点
wygi	餗
wygk	依赖
wygl	䭍
wygo	体育事业
wygs	䬴
wygu	餖
wygv	会议开始
wygw	公诸于众
wygy	餔
wyha	焦虑
wyhg	会议上
wyhh	停止
wyhj	依旧
wyhk	焦点
wyhx	依此
wyhy	饖
wyif	依法
wyig	信誉
wyih	含泪
wyii	含水
wyij	含混
wyim	登记注册
wyip	а
wyir	停泊
wyis	饓
wyit	伪劣
wyiu	人文涵养
wyjd	今晨
wyjf	邻里
wyjg	含量
wyjh	侪
wyji	䭘
wyjj	今日
wyjl	饂
wyjn	停电
wyjq	今晚
wyjs	餜
wyjv	依照
wykc	䭂
wyke	偯
wykf	售
wykg	信号
wykh	集中
wyki	倞
wykk	食品
wykm	众议员
wykp	䭤
wyks	停
wykt	优良品种
wykv	念叨
wyky	僦
wyld	䭅
wylf	集团
wylg	停车
wylk	领回
wylt	领略
wylw	体育界
wyly	饠
wymb	集邮
wymd	焦炭
wyme	餶
wymk	餇
wymq	偏见
wymu	䭓
wymw	公主岭
wyna	偏
wynb	今
wync	侌
wynd	邻居
wyne	衾
wynf	领导
wyng	领悟
wynj	韽
wynk	含
wynl	盦
wynm	贪
wynn	念
wyno	鳹
wynp	䭀
wynr	从这以后
wynt	凡属
wynu	停飞
wynv	侫
wynw	侅
wyny	信心
wyoa	代主席
wyod	含糊
wyog	鹪
wyoi	䭧
wyoj	劁
wyok	餹
wyom	顦
wyon	㲬
wyoo	停火
wyop	会议精神
wyoq	焦灼
wyou	焦
wyoy	食粮
wypf	信守
wypg	住家
wyph	贪官
wypl	餫
wyps	集宁
wypt	住宅
wypu	领袖
wypw	住宿
wypy	付诸实施
wyqb	飹
wyqd	依然
wyqe	㒅
wyqf	集镇
wyqi	餆
wyqj	集市贸易
wyqk	䬲
wyqn	体育馆
wyqo	燞
wyqq	保证金
wyqr	集锦
wyqv	焦急
wyqy	停留
wyrb	会议指出
wyrc	禽
wyrg	今后
wyrh	今年
wyrj	保证质量
wyrm	仿制
wyrn	依据
wyro	会计制度
wyrp	邻近
wyrq	优良的
wyrt	依托
wyru	邻接
wyry	仪
wysc	集权
wysf	全文检索
wysg	修订本
wysh	飣
wyss	贪婪
wysu	集
wysw	停机
wyta	代市长
wytd	餂
wyte	领航
wytf	依靠
wytg	偏重
wyth	信息
wyti	人文科学
wytk	餎
wytl	储备
wytm	偏向
wytn	䬣
wyto	今秋
wytq	食物
wyts	信箱
wytt	含笑
wytu	今冬
wytv	餧
wyty	伪
wyua	会议闭幕
wyub	食疗
wyuc	偏瘫
wyud	念头
wyue	䭥
wyuf	伪装
wyug	偏差
wyuh	偙
wyuj	做文章
wyuk	体育部
wyun	䭐
wyuo	会议资料
wyup	会议决定
wyuq	集资
wyut	停产
wyuu	体育新闻
wyuw	低效益
wyuy	傍
wyve	食
wyvg	全文如下
wyvk	䬰
wyvo	鶬
wyvp	䢢
wyvt	䬢
wyvw	飮
wywa	信贷
wywb	何许人也
wywc	䬦
wywd	依仗
wywe	俲
wywf	集会
wywg	集合
wywh	从这个意义上
wywj	䭝
wywk	会计人员
wywl	传遍全国
wywn	伉
wywo	保证供应
wywp	䭔
wywq	偏低
wywr	佼
wyws	集体
wywt	信任
wywu	全方位
wyww	令人
wywx	仿佛
wywy	信念
wyxe	体育组
wyxf	集结
wyxg	会议结束
wyxl	傗
wyxq	集约
wyxs	会议纪要
wyxx	众说纷纭
wyxy	会议强调
wyya	䭏
wyye	餏
wyyg	伪证
wyyh	飰
wyyj	䭣
wyyk	偏高
wyym	集市
wyyn	住房
wyyo	会议主席
wyyr	含义
wyyt	他认为
wyyu	俗话说
wyyw	仿效
wyyx	低效率
wyyy	雠
xaae	练功
xaal	经营范围
xaaw	红花
xaay	綫
xabg	縙
xabq	经营承包
xabr	经营承包责任制
xadf	红唇
xads	经营有术
xadt	绒
xadw	綨
xaek	红肿
xaet	繖
xafg	绀
xafr	经营场所
xaft	经营者
xagk	红豆
xahf	䌑
xahh	弫
xahl	繿
xahq	䌫
xaif	经营活动
xaig	红光
xais	红河
xaiu	红润
xajd	縸
xajs	红果
xajt	红星
xakf	缂
xakg	緎
xakk	彄
xaky	䌯
xalg	緢
xals	经营思想
xaly	䌩
xamd	緓
xamw	彉
xang	弡
xann	绁
xans	弽
xanu	练习
xanw	练
xany	红心
xaoo	红火
xaos	红灯
xapl	红军
xapu	经营之道
xapv	红安
xaqc	红色
xaqj	㣅
xaqn	繱
xarg	练兵
xarr	张牙舞爪
xart	缓期执行
xasc	经营权
xasn	经营格局
xasr	经营机制
xast	红梅
xatf	绒毛
xatg	经营管理
xath	红牌
xatj	红利
xato	䌲
xatp	纄
xatq	绕
xats	经营自主权
xaut	绕道
xauw	经营单位
xavy	红娘
xawi	䌨
xawk	䌋
xawo	经营企业
xaxa	毕恭毕敬
xaya	经营方式
xayj	经营效果
xayk	练就
xayt	红旗
xayu	经营商
xbbb	䌰
xbcl	䋼
xbcy	緅
xbfh	♂
xbft	继承者
xbhc	弢
xbke	级别
xbmh	绌
xbsc	继承权
xbsk	䋪
xbtr	继承和发扬
xbug	级差
xbwr	级风
xbww	继承人
xbxm	维也纳
xbxn	㢽
xbyy	级
xcag	经
xcap	经营
xccc	缀
xcce	縿
xccg	经验
xccs	縔
xcde	经历
xcdp	经验丰富
xcep	经受
xcfg	绝对真理
xcfp	经过
xcfy	经验教训
xcgh	绎
xcgj	经理
xcgr	贯通一气
xcgy	绝对平均主义
xcio	绝对温度
xcip	经常
xciy	经济
xcjq	䥒
xckg	绐
xckn	緿
xcma	经典
xcmh	经由
xcnh	纾
xcnk	繘
xcns	䋴
xcnt	䋒
xcov	绝对数
xcpy	经验之谈
xcqi	经销
xcqo	绝对多数
xcqy	经贸
xcrn	弘扬
xcrq	绝对的
xcrt	经手
xctp	经管
xctv	经委
xcty	经验和教训
xcuj	疑难问题
xcux	经验总结
xcvu	疑难杂症
xcwn	绝对领导
xcwr	绝对优势
xcwx	绝对化
xcxj	经费
xcxn	经纪
xcxt	经络
xcyi	经验交流
xcyu	经商
xcyw	经验交流会
xcyy	经验主义
xdbn	经历了
xdce	绝不能
xdcf	皆大欢喜
xdcy	绂
xddn	引而不发
xddo	强硬态度
xddq	绝不辜负
xddy	强盛不衰
xdeg	絠
xdek	绑架
xden	强有力
xdet	纋
xdfe	强大动力
xdff	缛
xdfh	经不起
xdfn	绔
xdfp	经历过
xdgy	缄
xdhg	比不上
xdhh	绝不止于此
xdhy	紑
xdir	强硬派
xdiy	䋘
xdjf	緾
xdjg	絔
xdjx	弼
xdkg	比历史最高水平
xdmd	缅
xdmy	顷
xdnd	缅怀
xdny	紌
xdpp	经研究决定
xdql	缅甸
xdqo	绝大多数
xdqq	䋾
xdqw	绝大多数人
xdri	縓
xdrn	绑扎
xdrq	强大的
xdry	强硬措施
xdsk	绮
xdsw	弱不禁风
xdtb	绑
xdui	缭
xduw	组成部分
xdvo	强压怒火
xdvt	绝不姑息
xdwt	縥
xdww	綊
xdwy	绝不食言
xdxa	缭绕
xdyn	顷刻
xdyy	紎
xead	缓期
